data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Nha Trang,포나가르사원(Ponagar Temple),"월, 화, 수, 목, 금, 토, 일: 06:00~17:30",,,,,https://www.google.com/maps/place/?q=place_id:ChIJUfK4YYxncDERfB2v8ZdvXxE,22762,4.4
2,Vietnam,Nha Trang,담시장(Dam Market),"월, 화, 수, 목, 금, 토, 일: 05:00~18:30",,,,,https://www.google.com/maps/place/?q=place_id:ChIJjz9TQYZncDERdYcVnKtZn-c,15407,3.8
3,Vietnam,Nha Trang,세일링클럽(Sailing Club Nha Trang),"월, 화, 수, 목, 금, 토, 일: 07:00~02:00",,,,국제전화번호: +84 858 306 679 홈페이지: http://www.sailingclubnhatrang.com/,https://www.google.com/maps/place/?q=place_id:ChIJix8YGGVncDERjFbduc6Ffrg,12977,4.4
4,Vietnam,Nha Trang,빈펄 콘도텔 비치프런트 냐짱(Vinpearl Beachfront Nha Trang),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 258 3599 099 홈페이지: https://vinpearl.com/vi/hotels/vinpearl-beachfront-nha-trang,https://www.google.com/maps/place/?q=place_id:ChIJXZ2cGO9ncDERm5wUjlVIb6c,12023,4.9
5,Vietnam,Nha Trang,롱선사(Long Son Pagoda),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6VnfP3ldcDERHoQBNdIRQhs,11286,4.3
6,Vietnam,Nha Trang,탑짬흐엉(Tháp Trầm Hương),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJEwTU1HtncDERBl13UGJnQ3Y,10130,4.4
7,Vietnam,Nha Trang,씀모이 가든(Xóm Mới Garden Nha Trang (씀모이가든 나트랑)),"월, 화, 수, 목, 금, 토, 일: 06:30~22:00",,,,국제전화번호: +84 777 651 004 홈페이지: http://www.xommoigarden.com/,https://www.google.com/maps/place/?q=place_id:ChIJWU9s5chncDERTiomOGbHjQM,7765,4.8
8,Vietnam,Nha Trang,혼총 곶(Hon Chong),"월, 화, 수, 목, 금, 토, 일: 06:00~18:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4fNk9-tncDEREaH8DVQWkmY,5329,4.2
9,Vietnam,Nha Trang,Night Market,"월, 화, 수, 목, 금, 토, 일: 07:00~22:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2TBhifdncDER-bv_z5RkrGo,4426,3.7
10,Vietnam,Nha Trang,스카이라이트(Skylight Nha Trang),"월, 화, 수, 목, 금, 토, 일: 17:30~01:00",,,,국제전화번호: +84 258 3528 988 홈페이지: https://skylightnhatrang.com/,https://www.google.com/maps/place/?q=place_id:ChIJXeYWDXlncDERdz6NupXSzTo,4180,4.4
