data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Ninh Binh,Trang An,"월, 화, 수, 목, 금: 06:30~17:00; 토, 일: 06:00~17:00",,,,국제전화번호: +84 229 3620 335 홈페이지: http://trangan.see-ticket.com/,https://www.google.com/maps/place/?q=place_id:ChIJL9TQ1GJ5NjERctWf-ezAU2Q,13970,4.6
2,Vietnam,Ninh Binh,땀꼭-빗동,,,,,,https://www.google.com/maps/place/%EB%95%80%EA%BC%AD-%EB%B9%97%EB%8F%99/data=!4m7!3m6!1s0x31367a597a9869a5:0x151f502fd648df0a!8m2!3d20.2163242!4d105.9374664!16s%2Fg%2F11ckqrc1zx!19sChIJpWmYell6NjERCt9I1i9QHxU?authuser=0&hl=ko&rclk=1,12522,4.5
3,Vietnam,Ninh Binh,땀꼭-빗동(Tam Cốc-Bích Động),"월, 화, 수, 목, 금, 토, 일: 07:30~17:00",,,,국제전화번호: +84 1900 0117,https://www.google.com/maps/place/?q=place_id:ChIJpWmYell6NjERCt9I1i9QHxU,12493,4.5
4,Vietnam,Ninh Binh,Di sản Tràng An,"월, 화, 수, 목, 금, 토, 일: 07:00~16:30",,,,국제전화번호: +84 229 3620 335 홈페이지: https://disantrangan.vn/,https://www.google.com/maps/place/?q=place_id:ChIJn9cZWcp7NjER_tFgRmNFgwU,8292,4.7
5,Vietnam,Ninh Binh,호아루 고대 수도,,,10세기부터 역사를 이어 온 고대 수도에 사원과 요새 유적지가 모여 있습니다.,,,https://www.google.com/maps/place/%ED%98%B8%EC%95%84%EB%A3%A8+%EA%B3%A0%EB%8C%80+%EC%88%98%EB%8F%84/data=!4m7!3m6!1s0x31367913413b466f:0xb73197d576d1ee7!8m2!3d20.2843154!4d105.9083607!16s%2Fm%2F0vb3mwh!19sChIJb0Y7QRN5NjER5x5tV30Zcws?authuser=0&hl=ko&rclk=1,7683,4.2
6,Vietnam,Ninh Binh,호아루 고대 수도(Hoa Lư Ancient Capital),"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,홈페이지: http://hoalu.see-ticket.com/,https://www.google.com/maps/place/?q=place_id:ChIJb0Y7QRN5NjER5x5tV30Zcws,7663,4.2
7,Vietnam,Ninh Binh,Ecotourism parks Bird Park Thung Nham,"월, 화, 수, 목, 금, 토, 일: 06:00~22:00",,,,국제전화번호: +84 912 900 887 홈페이지: http://thungnham.com/,https://www.google.com/maps/place/?q=place_id:ChIJE00Dh5x7NjERJnIicVFMXNY,4831,4.1
8,Vietnam,Ninh Binh,팟 지엠 성당,,,,,,https://www.google.com/maps/place/%ED%8C%9F+%EC%A7%80%EC%97%A0+%EC%84%B1%EB%8B%B9/data=!4m7!3m6!1s0x31366c3a68828531:0x83e00e6d4f51293c!8m2!3d20.0929558!4d106.0794881!16s%2Fm%2F0bwmj38!19sChIJMYWCaDpsNjERPClRT20O4IM?authuser=0&hl=ko&rclk=1,4122,4.6
9,Vietnam,Ninh Binh,빅동사,,,산 중턱에 자리한 고대 5층 탑으로 배를 타고 갈 수 있으며 3개의 자연 동굴이 근처에 있습니다.,,,https://www.google.com/maps/place/%EB%B9%85%EB%8F%99%EC%82%AC/data=!4m7!3m6!1s0x31367ba97018ad9f:0xd9e441c129065c1e!8m2!3d20.2175782!4d105.9156582!16s%2Fg%2F120pyxg0!19sChIJn60YcKl7NjERHlwGKcFB5Nk?authuser=0&hl=ko&rclk=1,3733,4.3
10,Vietnam,Ninh Binh,빅동사(Bich Dong Pagoda),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJn60YcKl7NjERHlwGKcFB5Nk,3714,4.3
11,Vietnam,Ninh Binh,꾹프엉 국립공원,,,정글에 자리한 거대한 국립공원으로 야생동물이나 동굴을 관찰하고 하이킹 및 자전거 타기를 즐길 수 있습니다.,,,https://www.google.com/maps/place/%EA%BE%B9%ED%94%84%EC%97%89+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3136831128ee0f3f:0x2b987c7f5a2ae8dc!8m2!3d20.3167448!4d105.6087306!16zL20vMGZiYm1s!19sChIJPw_uKBGDNjER3OgqWn98mCs?authuser=0&hl=ko&rclk=1,3602,4.4
12,Vietnam,Ninh Binh,꾹프엉 국립공원(Cuc Phuong National Park),"월, 화, 수, 목, 금, 토, 일: 07:00~20:00",,,,국제전화번호: +84 229 3848 006 홈페이지: http://www.cucphuongtourism.com.vn/,https://www.google.com/maps/place/?q=place_id:ChIJPw_uKBGDNjER3OgqWn98mCs,3593,4.4
13,Vietnam,Ninh Binh,Tuyệt Tịnh Cốc (động Am Tiên),"월, 화, 수, 목, 금, 토, 일: 08:00~18:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJiUlXJHN5NjER6Eu83Ju-9Hs,3486,4.4
14,Vietnam,Ninh Binh,항무아 동굴,,,,,,https://www.google.com/maps/place/%ED%95%AD%EB%AC%B4%EC%95%84+%EB%8F%99%EA%B5%B4/data=!4m7!3m6!1s0x31367b54c157fc1f:0x985f27a144897532!8m2!3d20.2298427!4d105.9349207!16s%2Fg%2F11kpqjn8mt!19sChIJH_xXwVR7NjERMnWJRKEnX5g?authuser=0&hl=ko&rclk=1,2911,4.6
15,Vietnam,Ninh Binh,항무아 동굴(Hang Múa),"월, 화, 수, 목, 금, 토, 일: 06:00~19:00",,,,국제전화번호: +84 913 822 278,https://www.google.com/maps/place/?q=place_id:ChIJH_xXwVR7NjERMnWJRKEnX5g,2885,4.6
16,Vietnam,Ninh Binh,바이딘 사원,,,오래된 불교 사찰이 있으며 개방된 안뜰에는 새로운 탑이 자리한 대규모 순례지입니다.,,,https://www.google.com/maps/place/%EB%B0%94%EC%9D%B4%EB%94%98+%EC%82%AC%EC%9B%90/data=!4m7!3m6!1s0x31367eb022ad8d53:0x8b48ec715231c285!8m2!3d20.2759272!4d105.8658282!16s%2Fm%2F05sy5_y!19sChIJU42tIrB-NjERhcIxUnHsSIs?authuser=0&hl=ko&rclk=1,2309,4.4
17,Vietnam,Ninh Binh,바이딘 사원(Bai Dinh Pagoda),,,,,국제전화번호: +84 913 899 135 홈페이지: https://www.chuabaidinhninhbinh.vn/,https://www.google.com/maps/place/?q=place_id:ChIJU42tIrB-NjERhcIxUnHsSIs,2229,4.4
18,Vietnam,Ninh Binh,무아 케이브스 에코롯지(항무아),,,,,,https://www.google.com/maps/place/%EB%AC%B4%EC%95%84+%EC%BC%80%EC%9D%B4%EB%B8%8C%EC%8A%A4+%EC%97%90%EC%BD%94%EB%A1%AF%EC%A7%80%28%ED%95%AD%EB%AC%B4%EC%95%84%29/data=!4m10!3m9!1s0x31367a464282da65:0xbbe99b3f02de77a0!5m2!4m1!1i2!8m2!3d20.23096!4d105.9376337!16s%2Fg%2F11bwp1jctq!19sChIJZdqCQkZ6NjERoHfeAj-b6bs?authuser=0&hl=ko&rclk=1,1894,4.3
19,Vietnam,Ninh Binh,무아 케이브스 에코롯지(항무아)(Khu du lịch Hang Múa),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 339 978 313,https://www.google.com/maps/place/?q=place_id:ChIJZdqCQkZ6NjERoHfeAj-b6bs,1888,4.3
20,Vietnam,Ninh Binh,Trang An Departure Boat Ticket,"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,국제전화번호: +84 229 3620 335,https://www.google.com/maps/place/?q=place_id:ChIJhUZL69N7NjERHic_j6StFwY,1856,4.6
21,Vietnam,Ninh Binh,"Tam Cốc – Bích Động - Ninh Bình, Việt Nam","월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 985 873 537 홈페이지: https://ninhbinhexcursiontour.com/from-hanoi-tam-coc-hoa-lu-mua-caves-full-day-trip/,https://www.google.com/maps/place/?q=place_id:ChIJaQvZe5h7NjERO-hhPoFSfKc,1607,4.5
22,Vietnam,Ninh Binh,밴롱 습지 자연보호구역,,,경치가 아름다운 자연 보호 구역으로 멸종 위기종인 델라쿠르랑구르 원숭이의 서식지이며 보트 투어를 즐길 수 있습니다.,,,https://www.google.com/maps/place/%EB%B0%B4%EB%A1%B1+%EC%8A%B5%EC%A7%80+%EC%9E%90%EC%97%B0%EB%B3%B4%ED%98%B8%EA%B5%AC%EC%97%AD/data=!4m7!3m6!1s0x3135d604306b0d97:0x4baa25808b926bb!8m2!3d20.3725061!4d105.8827399!16s%2Fg%2F122npbp7!19sChIJlw1rMATWNTERuya5CFiiugQ?authuser=0&hl=ko&rclk=1,1551,4.4
23,Vietnam,Ninh Binh,밴롱 습지 자연보호구역(Van Long Wetland Nature Reserve),"월, 화, 수, 목, 금, 토, 일: 08:00~18:00",,,,국제전화번호: +84 932 232 209 홈페이지: https://north-vietnam.com/ninh-binh/,https://www.google.com/maps/place/?q=place_id:ChIJlw1rMATWNTERuya5CFiiugQ,1550,4.4
