data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Ninh Binh,Trang An,"월, 화, 수, 목, 금: 06:30~17:00; 토, 일: 06:00~17:00",,,,국제전화번호: +84 229 3620 335 홈페이지: http://trangan.see-ticket.com/,https://www.google.com/maps/place/?q=place_id:ChIJL9TQ1GJ5NjERctWf-ezAU2Q,13970,4.6
2,Vietnam,Ninh Binh,땀꼭-빗동(Tam Cốc-Bích Động),"월, 화, 수, 목, 금, 토, 일: 07:30~17:00",,,,국제전화번호: +84 1900 0117,https://www.google.com/maps/place/?q=place_id:ChIJpWmYell6NjERCt9I1i9QHxU,12493,4.5
3,Vietnam,Ninh Binh,Di sản Tràng An,"월, 화, 수, 목, 금, 토, 일: 07:00~16:30",,,,국제전화번호: +84 229 3620 335 홈페이지: https://disantrangan.vn/,https://www.google.com/maps/place/?q=place_id:ChIJn9cZWcp7NjER_tFgRmNFgwU,8292,4.7
4,Vietnam,Ninh Binh,호아루 고대 수도(Hoa Lư Ancient Capital),"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,홈페이지: http://hoalu.see-ticket.com/,https://www.google.com/maps/place/?q=place_id:ChIJb0Y7QRN5NjER5x5tV30Zcws,7663,4.2
5,Vietnam,Ninh Binh,Ecotourism parks Bird Park Thung Nham,"월, 화, 수, 목, 금, 토, 일: 06:00~22:00",,,,국제전화번호: +84 912 900 887 홈페이지: http://thungnham.com/,https://www.google.com/maps/place/?q=place_id:ChIJE00Dh5x7NjERJnIicVFMXNY,4831,4.1
6,Vietnam,Ninh Binh,빅동사(Bich Dong Pagoda),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJn60YcKl7NjERHlwGKcFB5Nk,3714,4.3
7,Vietnam,Ninh Binh,꾹프엉 국립공원(Cuc Phuong National Park),"월, 화, 수, 목, 금, 토, 일: 07:00~20:00",,,,국제전화번호: +84 229 3848 006 홈페이지: http://www.cucphuongtourism.com.vn/,https://www.google.com/maps/place/?q=place_id:ChIJPw_uKBGDNjER3OgqWn98mCs,3593,4.4
8,Vietnam,Ninh Binh,Tuyệt Tịnh Cốc (động Am Tiên),"월, 화, 수, 목, 금, 토, 일: 08:00~18:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJiUlXJHN5NjER6Eu83Ju-9Hs,3486,4.4
9,Vietnam,Ninh Binh,항무아 동굴(Hang Múa),"월, 화, 수, 목, 금, 토, 일: 06:00~19:00",,,,국제전화번호: +84 913 822 278,https://www.google.com/maps/place/?q=place_id:ChIJH_xXwVR7NjERMnWJRKEnX5g,2885,4.6
10,Vietnam,Ninh Binh,에메랄다 리조트 닌 빈(Emeralda Resort Ninh Binh),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 229 3658 333 홈페이지: http://www.emeraldaresort.com/,https://www.google.com/maps/place/?q=place_id:ChIJ-zMJCEB_NjEROW1nErkGBHA,2485,4.3
11,Vietnam,Ninh Binh,바이딘 사원(Bai Dinh Pagoda),,,,,국제전화번호: +84 913 899 135 홈페이지: https://www.chuabaidinhninhbinh.vn/,https://www.google.com/maps/place/?q=place_id:ChIJU42tIrB-NjERhcIxUnHsSIs,2229,4.4
12,Vietnam,Ninh Binh,무아 케이브스 에코롯지(항무아)(Khu du lịch Hang Múa),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 339 978 313,https://www.google.com/maps/place/?q=place_id:ChIJZdqCQkZ6NjERoHfeAj-b6bs,1888,4.3
13,Vietnam,Ninh Binh,Trang An Departure Boat Ticket,"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,국제전화번호: +84 229 3620 335,https://www.google.com/maps/place/?q=place_id:ChIJhUZL69N7NjERHic_j6StFwY,1856,4.6
14,Vietnam,Ninh Binh,"Tam Cốc – Bích Động - Ninh Bình, Việt Nam","월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 985 873 537 홈페이지: https://ninhbinhexcursiontour.com/from-hanoi-tam-coc-hoa-lu-mua-caves-full-day-trip/,https://www.google.com/maps/place/?q=place_id:ChIJaQvZe5h7NjERO-hhPoFSfKc,1607,4.5
15,Vietnam,Ninh Binh,밴롱 습지 자연보호구역(Van Long Wetland Nature Reserve),"월, 화, 수, 목, 금, 토, 일: 08:00~18:00",,,,국제전화번호: +84 932 232 209 홈페이지: https://north-vietnam.com/ninh-binh/,https://www.google.com/maps/place/?q=place_id:ChIJlw1rMATWNTERuya5CFiiugQ,1550,4.4
16,Vietnam,Ninh Binh,Lalita Boutique Hotel & Spa Ninh Binh,,,,,국제전화번호: +84 229 3844 888 홈페이지: https://lalitahotel.com/,https://www.google.com/maps/place/?q=place_id:ChIJ47GIx7t7NjERj4EHPO2EiIs,1414,4.9
17,Vietnam,Ninh Binh,Chợ Rồng Ninh Bình,"월, 화, 수, 목, 금, 토, 일: 06:00~18:00",,,,국제전화번호: +84 971 909 309,https://www.google.com/maps/place/?q=place_id:ChIJ1YWOaVN3NjERnid2aOrjfYQ,1177,4.1
18,Vietnam,Ninh Binh,Phim Trường Kong Skull Island,"월, 화, 수, 목, 금, 토, 일: 07:00~16:30",,,,홈페이지: https://disantrangan.vn/,https://www.google.com/maps/place/?q=place_id:ChIJDcS9-M17NjER4PsFAv7gXg4,979,4.2
19,Vietnam,Ninh Binh,Phong Nha Botanic Garden,"월, 화, 수, 목, 금, 토: 07:30~16:00; 일: 09:00~16:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJvS69RoC6ODERA2OiVUQyw8s,868,4.3
