data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Phan Thiet,붉은모래사막,,,바다가 내려다보이는 인상적인 사구 지대로 모래 썰매 타기와 아름다운 일몰 풍경으로 유명합니다.,,,https://www.google.com/maps/place/%EB%B6%89%EC%9D%80%EB%AA%A8%EB%9E%98%EC%82%AC%EB%A7%89/data=!4m7!3m6!1s0x31768fac53024b1b:0x153b24c8ad4ca418!8m2!3d10.9492961!4d108.2963502!16s%2Fg%2F11j490y2lh!19sChIJG0sCU6yPdjERGKRMrcgkOxU?authuser=0&hl=ko&rclk=1,4777,4.0
2,Vietnam,Phan Thiet,Doi Duong Beach,,,,,,https://www.google.com/maps/place/Doi+Duong+Beach/data=!4m7!3m6!1s0x3176830a7d2b5d53:0x4a0851115bfe6583!8m2!3d10.9242215!4d108.1150157!16s%2Fg%2F11cfjrnj_!19sChIJU10rfQqDdjERg2X-WxFRCEo?authuser=0&hl=ko&rclk=1,4090,4.2
3,Vietnam,Phan Thiet,Bãi đá Ông Địa,,,"카이트서핑, 패러세일링과 같은 레저 활동으로 유명한 해안 지역입니다.",,,https://www.google.com/maps/place/B%C3%A3i+%C4%91%C3%A1+%C3%94ng+%C4%90%E1%BB%8Ba/data=!4m7!3m6!1s0x317684e3e2b75663:0x144b665eea92a03c!8m2!3d10.9367259!4d108.1843512!16s%2Fg%2F12z65vv8s!19sChIJY1a34uOEdjERPKCS6l5mSxQ?authuser=0&hl=ko&rclk=1,3314,4.3
4,Vietnam,Phan Thiet,판티엣 중앙시장,,,,,,https://www.google.com/maps/place/%ED%8C%90%ED%8B%B0%EC%97%A3+%EC%A4%91%EC%95%99%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x31768373f34bb143:0xbb59c98a2dec906f!8m2!3d10.9256323!4d108.0963841!16s%2Fg%2F11f9y5vmrf!19sChIJQ7FL83ODdjERb5DsLYrJWbs?authuser=0&hl=ko&rclk=1,3063,4.3
5,Vietnam,Phan Thiet,무이네 어촌시장,,,,,,https://www.google.com/maps/place/%EB%AC%B4%EC%9D%B4%EB%84%A4+%EC%96%B4%EC%B4%8C%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x31768fcbfdce4a8d:0xda181fa599ff193c!8m2!3d10.9403776!4d108.2796535!16s%2Fg%2F11bt_k18j4!19sChIJjUrO_cuPdjERPBn_maUfGNo?authuser=0&hl=ko&rclk=1,2835,3.8
6,Vietnam,Phan Thiet,Ke Ga Cape,,,,,,https://www.google.com/maps/place/Ke+Ga+Cape/data=!4m7!3m6!1s0x3175d68fad3d4809:0x315cf1774b56da33!8m2!3d10.6994252!4d107.9929762!16s%2Fg%2F12269fx_!19sChIJCUg9rY_WdTERM9pWS3fxXDE?authuser=0&hl=ko&rclk=1,2546,4.3
7,Vietnam,Phan Thiet,"Fairy Stream, Mui Ne",,,,,,"https://www.google.com/maps/place/Fairy+Stream,+Mui+Ne/data=!4m7!3m6!1s0x31768fbf22d8de49:0x781da0ae90c8ad81!8m2!3d10.9512027!4d108.2564479!16s%2Fg%2F1219y7j1!19sChIJSd7YIr-PdjERga3IkK6gHXg?authuser=0&hl=ko&rclk=1",2305,3.9
8,Vietnam,Phan Thiet,Doi Duong Beach Park,,,,,,https://www.google.com/maps/place/Doi+Duong+Beach+Park/data=!4m7!3m6!1s0x3176830a60aa35dd:0x53fc03edb2e2394b!8m2!3d10.9255169!4d108.1156513!16s%2Fg%2F12mjs4y79!19sChIJ3TWqYAqDdjERSznisu0D_FM?authuser=0&hl=ko&rclk=1,1790,4.3
9,Vietnam,Phan Thiet,Ke Ga Lighthouse,,,,,,https://www.google.com/maps/place/Ke+Ga+Lighthouse/data=!4m7!3m6!1s0x3175d68ee1e9fd13:0x3c0f966dd4c667d9!8m2!3d10.7088833!4d107.9842954!16s%2Fg%2F1q5blc2tb!19sChIJE_3p4Y7WdTER2WfG1G2WDzw?authuser=0&hl=ko&rclk=1,1756,4.4
10,Vietnam,Phan Thiet,무이네 어촌마을,,,이 마을은 잡아 온 생선을 직접 보고 맛보려는 관광객들로 북적입니다.,,,https://www.google.com/maps/place/%EB%AC%B4%EC%9D%B4%EB%84%A4+%EC%96%B4%EC%B4%8C%EB%A7%88%EC%9D%84/data=!4m7!3m6!1s0x31768fc953f45d09:0x7eab3988ab5bea53!8m2!3d10.9410098!4d108.2791267!16s%2Fg%2F11cjj_8gsk!19sChIJCV30U8mPdjERU-pbq4g5q34?authuser=0&hl=ko&rclk=1,1730,3.9
11,Vietnam,Phan Thiet,Van Thuy Tu Temple,,,,,,https://www.google.com/maps/place/Van+Thuy+Tu+Temple/data=!4m7!3m6!1s0x317683aa346e547f:0xc9a4889225bce5fc!8m2!3d10.9229174!4d108.1001302!16s%2Fg%2F1z44b0g85!19sChIJf1RuNKqDdjER_OW8JZKIpMk?authuser=0&hl=ko&rclk=1,1312,4.3
