data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Phu Quoc Island,빈펄리조트 앤 스파- 푸꾸옥,,,,,,https://www.google.com/maps/place/%EB%B9%88%ED%8E%84%EB%A6%AC%EC%A1%B0%ED%8A%B8+%EC%95%A4+%EC%8A%A4%ED%8C%8C-+%ED%91%B8%EA%BE%B8%EC%98%A5/data=!4m10!3m9!1s0x31081e3b9fdc2f85:0x1a649fb7cb98ca00!5m2!4m1!1i2!8m2!3d10.3312874!4d103.852247!16s%2Fg%2F11c4blb_93!19sChIJhS_cnzseCDERAMqYy7efZBo?authuser=0&hl=ko&rclk=1,17698,4.9
2,Vietnam,Phu Quoc Island,Wyndham Grand Phu Quoc,,,,,,https://www.google.com/maps/place/Wyndham+Grand+Phu+Quoc/data=!4m10!3m9!1s0x31081fd375b3e319:0x8d5ea1381c41a15a!5m2!4m1!1i2!8m2!3d10.3292112!4d103.8539248!16s%2Fg%2F11n8qzr9ft!19sChIJGeOzddMfCDERWqFBHDihXo0?authuser=0&hl=ko&rclk=1,15451,4.9
3,Vietnam,Phu Quoc Island,빈펄 사파리 푸꾸옥(Vinpearl Safari Phú Quốc),"월, 화, 수, 목, 금, 토, 일: 09:00~16:00",,,,국제전화번호: +84 297 3636 699 홈페이지: https://vinpearl.com/vi/vinwonders-vinpearl-safari,https://www.google.com/maps/place/?q=place_id:ChIJ2bp76JUfCDER2BAKZAkG66c,13234,4.5
4,Vietnam,Phu Quoc Island,빈펄 사파리 푸꾸옥,,,다양한 희귀 토종 및 외래종 동물이 있는 개방형 동물원 및 자연 보호 공원입니다.,,,https://www.google.com/maps/place/%EB%B9%88%ED%8E%84+%EC%82%AC%ED%8C%8C%EB%A6%AC+%ED%91%B8%EA%BE%B8%EC%98%A5/data=!4m7!3m6!1s0x31081f95e87bbad9:0xa7eb0609640a10d8!8m2!3d10.3370948!4d103.8914357!16s%2Fg%2F11bxfdwwh7!19sChIJ2bp76JUfCDER2BAKZAkG66c?authuser=0&hl=ko&rclk=1,13228,4.5
5,Vietnam,Phu Quoc Island,선월드 케이블카역(Hon Thom Departure Terminal - Sun World Hon Thom Nature Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,홈페이지: https://www.klook.com/vi/activity/20750-sun-world-hon-thom-cable-car-ticket/?aid=30843&aff_adid=649631&spm=Experience_Vertical.CountryActivity_LIST&clickId=4c0af5923c&aff_label1=V%C3%A9%20Sun%20World%20Phu%20Quoc%20(H%C3%B2n%20Th%C6%A1m)&aff_label2=&aff_label3=&aff_pid=&aff_sid=&utm_medium=affiliate-alwayson&utm_source=non-network&utm_campaign=30843&utm_term=&utm_content=&aff_klick_id=28330860144-30843-649631-f268ffc,https://www.google.com/maps/place/?q=place_id:ChIJvxdKNoKWpzERAWSyG5rABsg,11495,4.6
6,Vietnam,Phu Quoc Island,선월드 케이블카역,,,고대 로마를 테마로 한 산악 케이블카역 및 쇼핑 중심지로 케이블카는 섬 내의 워터파크로 연결됩니다.,,,https://www.google.com/maps/place/%EC%84%A0%EC%9B%94%EB%93%9C+%EC%BC%80%EC%9D%B4%EB%B8%94%EC%B9%B4%EC%97%AD/data=!4m7!3m6!1s0x31a79682364a17bf:0xc806c09a1bb26401!8m2!3d10.0270938!4d104.0073237!16s%2Fg%2F11hbv179hq!19sChIJvxdKNoKWpzERAWSyG5rABsg?authuser=0&hl=ko&rclk=1,11494,4.6
7,Vietnam,Phu Quoc Island,빈펄 원더월드 푸꾸옥,,,,,,https://www.google.com/maps/place/%EB%B9%88%ED%8E%84+%EC%9B%90%EB%8D%94%EC%9B%94%EB%93%9C+%ED%91%B8%EA%BE%B8%EC%98%A5/data=!4m10!3m9!1s0x31081e675b9530e1:0x8c883cc47507e38f!5m2!4m1!1i2!8m2!3d10.3423539!4d103.851334!16s%2Fg%2F11dxkbvww_!19sChIJ4TCVW2ceCDERj-MHdcQ8iIw?authuser=0&hl=ko&rclk=1,11051,4.9
8,Vietnam,Phu Quoc Island,Phu Quoc Prison History Museum,"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8zUfc5iXpzERSSpBZR01y2c,8113,4.3
9,Vietnam,Phu Quoc Island,Sao Beach,,,"수상 스포츠를 즐기기 좋은 깨끗한 바닷물, 의자 대여, 식당이 있고 풍경이 멋진 유명한 백사장 해변입니다.",,,https://www.google.com/maps/place/Sao+Beach/data=!4m7!3m6!1s0x31a7913159688b2f:0xb474e14389b16ba8!8m2!3d10.0572576!4d104.0363948!16s%2Fg%2F1ttdkh0s!19sChIJL4toWTGRpzERqGuxiUPhdLQ?authuser=0&hl=ko&rclk=1,6968,3.9
10,Vietnam,Phu Quoc Island,그랜드월드 푸꾸옥(Vinpearl Grand World Phu Quoc),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 24 3911 8899,https://www.google.com/maps/place/?q=place_id:ChIJbUZGsQEfCDERXgX4I2SUCsI,6908,4.4
