data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Phu Quoc Island,빈펄리조트 앤 스파- 푸꾸옥(Vinpearl Resort & Spa Phú Quốc),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 297 3519 999 홈페이지: https://vinpearl.com/vi/hotels/vinpearl-resort-spa-phu-quoc,https://www.google.com/maps/place/?q=place_id:ChIJhS_cnzseCDERAMqYy7efZBo,17723,4.9
2,Vietnam,Phu Quoc Island,빈펄 사파리 푸꾸옥(Vinpearl Safari Phú Quốc),"월, 화, 수, 목, 금, 토, 일: 09:00~16:00",,,,국제전화번호: +84 297 3636 699 홈페이지: https://vinpearl.com/vi/vinwonders-vinpearl-safari,https://www.google.com/maps/place/?q=place_id:ChIJ2bp76JUfCDER2BAKZAkG66c,13234,4.5
3,Vietnam,Phu Quoc Island,선월드 케이블카역(Hon Thom Departure Terminal - Sun World Hon Thom Nature Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,홈페이지: https://www.klook.com/vi/activity/20750-sun-world-hon-thom-cable-car-ticket/?aid=30843&aff_adid=649631&spm=Experience_Vertical.CountryActivity_LIST&clickId=4c0af5923c&aff_label1=V%C3%A9%20Sun%20World%20Phu%20Quoc%20(H%C3%B2n%20Th%C6%A1m)&aff_label2=&aff_label3=&aff_pid=&aff_sid=&utm_medium=affiliate-alwayson&utm_source=non-network&utm_campaign=30843&utm_term=&utm_content=&aff_klick_id=28330860144-30843-649631-f268ffc,https://www.google.com/maps/place/?q=place_id:ChIJvxdKNoKWpzERAWSyG5rABsg,11495,4.6
4,Vietnam,Phu Quoc Island,Phu Quoc Prison History Museum,"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8zUfc5iXpzERSSpBZR01y2c,8113,4.3
5,Vietnam,Phu Quoc Island,그랜드월드 푸꾸옥(Vinpearl Grand World Phu Quoc),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 24 3911 8899,https://www.google.com/maps/place/?q=place_id:ChIJbUZGsQEfCDERXgX4I2SUCsI,6908,4.4
6,Vietnam,Phu Quoc Island,푸꼭(Phú Quốc),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJF9qetGKMpzER2yzXvft5qgg,4986,4.4
7,Vietnam,Phu Quoc Island,솔 비치 하우스 푸꾸옥 바이 멜리아 호텔스 인터내셔널(Sol by Meliá Phu Quoc),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 297 3869 999 홈페이지: https://www.melia.com/en/hotels/vietnam/phu-quoc/sol-phu-quoc?utm_medium=organic&utm_source=directories&utm_campaign=google&utm_content=5753,https://www.google.com/maps/place/?q=place_id:ChIJX5g8DI6NpzERD3kfpnZmESY,4430,4.6
8,Vietnam,Phu Quoc Island,멜리아빈펄푸꾸옥(Meliá Vinpearl Phu Quoc),,,,,국제전화번호: +84 297 3625 888 홈페이지: https://www.melia.com/en/hotels/vietnam/phu-quoc/melia-vinpearl-phu-quoc?utm_medium=organic&utm_source=directories&utm_campaign=google&utm_content=6120,https://www.google.com/maps/place/?q=place_id:ChIJQ6NpnkEeCDER1xPLzXd8bKk,3251,4.7
9,Vietnam,Phu Quoc Island,Premier Residences Phu Quoc Emerald Bay Managed by Accor,,,,,국제전화번호: +84 297 3927 777 홈페이지: https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B2Q9&merchantid=seo-maps-VN-B2Q9&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,https://www.google.com/maps/place/?q=place_id:ChIJn6kim_SXpzERd6rlRMQmpZc,3007,4.8
10,Vietnam,Phu Quoc Island,빈원더스푸꾸옥(VinWonders Phú Quốc),"월, 화, 수, 목, 금, 토, 일: 09:00~19:00",,,,국제전화번호: +84 1900 6677 홈페이지: https://vinwonders.com/vi/vinwonders-phu-quoc/,https://www.google.com/maps/place/?q=place_id:ChIJgwI3D_8fCDERzTBdqPmUa9M,2932,4.5
