data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Phu Yen,Nghinh Phong Tower,,,,,,https://www.google.com/maps/place/Nghinh+Phong+Tower/data=!4m7!3m6!1s0x316fedc939387693:0x7b8d0a7d1f62c3bd!8m2!3d13.1162771!4d109.3072513!16s%2Fg%2F11pd0ssx8z!19sChIJk3Y4OcntbzERvcNiH30KjXs?authuser=0&hl=ko&rclk=1,5238,4.7
2,Vietnam,Phu Yen,Gành Đá Đĩa,,,,,,https://www.google.com/maps/place/G%C3%A0nh+%C4%90%C3%A1+%C4%90%C4%A9a/data=!4m7!3m6!1s0x316f9bd2d7763f91:0xbf05c47b09caa799!8m2!3d13.3539579!4d109.2937518!16s%2Fg%2F11jm5jj1bz!19sChIJkT9219KbbzERmafKCXvEBb8?authuser=0&hl=ko&rclk=1,5074,4.5
3,Vietnam,Phu Yen,Ky Co Beach,,,,,,https://www.google.com/maps/place/Ky+Co+Beach/data=!4m7!3m6!1s0x316f69f22c9fe315:0x2307fe5753f84473!8m2!3d13.8499207!4d109.291844!16s%2Fg%2F11c5rsmsnn!19sChIJFeOfLPJpbzERc0T4U1f-ByM?authuser=0&hl=ko&rclk=1,3300,4.4
4,Vietnam,Phu Yen,Chùa Thanh Lương,,,,,,https://www.google.com/maps/place/Ch%C3%B9a+Thanh+L%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x316f9342db518379:0x377a180f03b74fbc!8m2!3d13.1815173!4d109.2956028!16s%2Fg%2F1ptyx9bms!19sChIJeYNR20KTbzERvE-3Aw8Yejc?authuser=0&hl=ko&rclk=1,2202,4.6
5,Vietnam,Phu Yen,April 1st Square,,,,,,https://www.google.com/maps/place/April+1st+Square/data=!4m7!3m6!1s0x316fec48abb9fb31:0xbc9c700382359511!8m2!3d13.0979505!4d109.3191428!16s%2Fg%2F1ts_429v!19sChIJMfu5q0jsbzEREZU1ggNwnLw?authuser=0&hl=ko&rclk=1,2049,4.3
6,Vietnam,Phu Yen,빈원더스 냐짱,,,,,,https://www.google.com/maps/place/%EB%B9%88%EC%9B%90%EB%8D%94%EC%8A%A4+%EB%83%90%EC%A7%B1/data=!4m7!3m6!1s0x317067c7c4267451:0x826b650efe77e523!8m2!3d12.2186318!4d109.2410493!16s%2Fg%2F11h52s0zxz!19sChIJUXQmxMdncDERI-V3_g5la4I?authuser=0&hl=ko&rclk=1,1892,4.2
7,Vietnam,Phu Yen,Tuy Hoa Market,,,,,,https://www.google.com/maps/place/Tuy+Hoa+Market/data=!4m7!3m6!1s0x316fec3de80065d3:0xd462ddb551ac6ed3!8m2!3d13.0874701!4d109.3084129!16s%2Fg%2F1ttyt6_g!19sChIJ02UA6D3sbzER026sUbXdYtQ?authuser=0&hl=ko&rclk=1,1758,4.1
8,Vietnam,Phu Yen,Mũi Yến,,,,,,https://www.google.com/maps/place/M%C5%A9i+Y%E1%BA%BFn/data=!4m7!3m6!1s0x316f93ead0f83711:0xd5c9e5bdbee91cb0!8m2!3d13.2264174!4d109.3052637!16s%2Fg%2F11cm4spkcp!19sChIJETf40OqTbzERsBzpvr3lydU?authuser=0&hl=ko&rclk=1,1405,4.4
9,Vietnam,Phu Yen,Núi Vũng Chua,,,,,,https://www.google.com/maps/place/N%C3%BAi+V%C5%A9ng+Chua/data=!4m7!3m6!1s0x316f6d59a036da5f:0x19a8f4979c88e742!8m2!3d13.7424301!4d109.195728!16s%2Fg%2F11rtz91nkn!19sChIJX9o2oFltbzERQueInJf0qBk?authuser=0&hl=ko&rclk=1,1358,4.9
10,Vietnam,Phu Yen,Bãi Xép,,,,,,https://www.google.com/maps/place/B%C3%A3i+X%C3%A9p/data=!4m7!3m6!1s0x316f936dce78f46d:0xf751ed8c47b09ad9!8m2!3d13.1915388!4d109.3014602!16s%2Fg%2F1q5bmf6hh!19sChIJbfR4zm2TbzER2ZqwR4ztUfc?authuser=0&hl=ko&rclk=1,971,4.4
11,Vietnam,Phu Yen,Khu di tích Bến Tàu Không Số Vũng Rô,,,,,,https://www.google.com/maps/place/Khu+di+t%C3%ADch+B%E1%BA%BFn+T%C3%A0u+Kh%C3%B4ng+S%E1%BB%91+V%C5%A9ng+R%C3%B4/data=!4m7!3m6!1s0x316ffc85de6b4fef:0xe7abfc67602afe4!8m2!3d12.8776002!4d109.4196633!16s%2Fg%2F11cn9x3grw!19sChIJ709r3oX8bzER5K8Cdsa_eg4?authuser=0&hl=ko&rclk=1,967,4.3
12,Vietnam,Phu Yen,Hon Mun Marine Protected Area,,,,,,https://www.google.com/maps/place/Hon+Mun+Marine+Protected+Area/data=!4m7!3m6!1s0x317063b8a9c9e44b:0xc6f470ef9527e3ce!8m2!3d12.1699981!4d109.3002051!16s%2Fg%2F122n62gr!19sChIJS-TJqbhjcDERzuMnle9w9MY?authuser=0&hl=ko&rclk=1,888,4.4
