data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Quang Binh Province,Bảo tàng Quảng Ninh,,,,,,https://www.google.com/maps/place/B%E1%BA%A3o+t%C3%A0ng+Qu%E1%BA%A3ng+Ninh/data=!4m7!3m6!1s0x314a58213aea329b:0xfdebf2e95b28d582!8m2!3d20.9487077!4d107.097508!16s%2Fg%2F12hk8x6mw!19sChIJmzLqOiFYSjERgtUoW-ny6_0?authuser=0&hl=ko&rclk=1,10023,4.5
2,Vietnam,Quang Binh Province,파라다이스동굴(天堂洞),,,최대 72미터 높이의 석회암 동굴. 입구에서 1km까지 방문객에게 공개됩니다.,,,https://www.google.com/maps/place/%ED%8C%8C%EB%9D%BC%EB%8B%A4%EC%9D%B4%EC%8A%A4%EB%8F%99%EA%B5%B4%28%E5%A4%A9%E5%A0%82%E6%B4%9E%29/data=!4m7!3m6!1s0x3138b743627e56ed:0x369b5b3e6824df37!8m2!3d17.5194514!4d106.2232849!16s%2Fm%2F0gytwx1!19sChIJ7VZ-YkO3ODERN98kaD5bmzY?authuser=0&hl=ko&rclk=1,5456,4.7
3,Vietnam,Quang Binh Province,Ke Go Nature Reserve,,,"열대 우림, 거대한 저수지, 파충류와 희귀한 꿩의 서식지가 있는 보호 지구입니다.",,,https://www.google.com/maps/place/Ke+Go+Nature+Reserve/data=!4m7!3m6!1s0x3138f6ef3109f859:0xcc8c965ae7a4865c!8m2!3d17.9666202!4d106.1464431!16s%2Fg%2F1tl1kykv!19sChIJWfgJMe_2ODERXIak51qWjMw?authuser=0&hl=ko&rclk=1,2226,4.3
4,Vietnam,Quang Binh Province,빈목터널,,,,,,https://www.google.com/maps/place/%EB%B9%88%EB%AA%A9%ED%84%B0%EB%84%90/data=!4m7!3m6!1s0x3141a1376a85d34f:0xe2635ba59cd5cc0d!8m2!3d17.0742411!4d107.1099233!16s%2Fg%2F119t7xpf3!19sChIJT9OFajehQTERDczVnKVbY-I?authuser=0&hl=ko&rclk=1,1973,4.6
5,Vietnam,Quang Binh Province,Dark Cave,,,,,,https://www.google.com/maps/place/Dark+Cave/data=!4m7!3m6!1s0x3138ba1e4af6cb93:0x2a56c0e41944921!8m2!3d17.5741716!4d106.2542393!16s%2Fg%2F11bbyjzkq5!19sChIJk8v2Sh66ODERIUmUQQ5spQI?authuser=0&hl=ko&rclk=1,1902,4.4
6,Vietnam,Quang Binh Province,Meliá Vinpearl Quang Binh,,,,,,https://www.google.com/maps/place/Meli%C3%A1+Vinpearl+Quang+Binh/data=!4m10!3m9!1s0x314757b74d12d713:0x5f846de9e96cac64!5m2!4m1!1i2!8m2!3d17.4656176!4d106.6264752!16s%2Fg%2F11g22xbbr6!19sChIJE9cSTbdXRzERZKxs6elthF8?authuser=0&hl=ko&rclk=1,1700,4.9
7,Vietnam,Quang Binh Province,Cầu Hiền Lương Vĩ Tuyến 17,,,,,,https://www.google.com/maps/place/C%E1%BA%A7u+Hi%E1%BB%81n+L%C6%B0%C6%A1ng+V%C4%A9+Tuy%E1%BA%BFn+17/data=!4m7!3m6!1s0x3140c3a0486ad7b9:0x3636a0f6d6d69729!8m2!3d17.0043859!4d107.051716!16s%2Fg%2F11c1sj6tyl!19sChIJuddqSKDDQDERKZfW1vagNjY?authuser=0&hl=ko&rclk=1,1508,4.5
8,Vietnam,Quang Binh Province,The Duck Stop,,,,,,https://www.google.com/maps/place/The+Duck+Stop/data=!4m7!3m6!1s0x3138a4c316038993:0x78ff347fba9c7d5c!8m2!3d17.6044369!4d106.3656824!16s%2Fg%2F11f30j8t4t!19sChIJk4kDFsOkODERXH2cun80_3g?authuser=0&hl=ko&rclk=1,1319,4.8
9,Vietnam,Quang Binh Province,꽝빈므엉타잉호텔,,,,,,https://www.google.com/maps/place/%EA%BD%9D%EB%B9%88%EB%AF%80%EC%97%89%ED%83%80%EC%9E%89%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x3147572d0ff1b15d:0x32874d76f677769b!5m2!4m1!1i2!8m2!3d17.4862946!4d106.6270087!16s%2Fg%2F1yf_9mgly!19sChIJXbHxDy1XRzERm3Z39nZNhzI?authuser=0&hl=ko&rclk=1,1249,4.2
10,Vietnam,Quang Binh Province,Bãi tắm Cửa Việt,,,,,,https://www.google.com/maps/place/B%C3%A3i+t%E1%BA%AFm+C%E1%BB%ADa+Vi%E1%BB%87t/data=!4m7!3m6!1s0x3140e74e579628f7:0x66e42c875733fef8!8m2!3d16.9129825!4d107.1865671!16s%2Fg%2F11c46fjtbr!19sChIJ9yiWV07nQDER-P4zV4cs5GY?authuser=0&hl=ko&rclk=1,1151,4.2
11,Vietnam,Quang Binh Province,Phong Nha Botanic Garden,,,,,,https://www.google.com/maps/place/Phong+Nha+Botanic+Garden/data=!4m7!3m6!1s0x3138ba8046bd2ebd:0xcbc3324455a26303!8m2!3d17.5521849!4d106.3012126!16s%2Fg%2F11b7zk973k!19sChIJvS69RoC6ODERA2OiVUQyw8s?authuser=0&hl=ko&rclk=1,871,4.3
12,Vietnam,Quang Binh Province,Dancing Rock Beach,,,,,,https://www.google.com/maps/place/Dancing+Rock+Beach/data=!4m7!3m6!1s0x3138a08dc9034b3f:0x4695f38ccc880e29!8m2!3d17.6608422!4d106.5148303!16s%2Fg%2F11cs1sb3jj!19sChIJP0sDyY2gODERKQ6IzIzzlUY?authuser=0&hl=ko&rclk=1,870,4.3
13,Vietnam,Quang Binh Province,Bãi biển Thiên Cầm,,,,,,https://www.google.com/maps/place/B%C3%A3i+bi%E1%BB%83n+Thi%C3%AAn+C%E1%BA%A7m/data=!4m7!3m6!1s0x31385ce640548cd9:0xc860bb62db08ec59!8m2!3d18.2735407!4d106.1042518!16s%2Fg%2F1217thqr!19sChIJ2YxUQOZcODERWewI22K7YMg?authuser=0&hl=ko&rclk=1,771,4.2
14,Vietnam,Quang Binh Province,산동 동굴,,,가이드 투어를 통해 수백만 년을 거슬러 올라가는 거대한 산악 동굴을 탐험할 수 있습니다.,,,https://www.google.com/maps/place/%EC%82%B0%EB%8F%99+%EB%8F%99%EA%B5%B4/data=!4m7!3m6!1s0x3138c817a1e4e223:0x92ee0503cee94cae!8m2!3d17.5469315!4d106.1439998!16s%2Fm%2F05zmhlm!19sChIJI-LkoRfIODERrkzpzgMF7pI?authuser=0&hl=ko&rclk=1,725,4.7
15,Vietnam,Quang Binh Province,Biển Nhật Lệ,,,,,,https://www.google.com/maps/place/Bi%E1%BB%83n+Nh%E1%BA%ADt+L%E1%BB%87/data=!4m7!3m6!1s0x31475768b0755c29:0x11f503b21933a504!8m2!3d17.49373!4d106.6261869!16s%2Fm%2F02qgt5h!19sChIJKVx1sGhXRzERBKUzGbID9RE?authuser=0&hl=ko&rclk=1,709,4.4
16,Vietnam,Quang Binh Province,Cua Tung Beach,,,,,,https://www.google.com/maps/place/Cua+Tung+Beach/data=!4m7!3m6!1s0x3140dca833be6427:0x726435c57653ee6c!8m2!3d17.0228273!4d107.1104295!16s%2Fg%2F120mnnpt!19sChIJJ2S-M6jcQDERbO5TdsU1ZHI?authuser=0&hl=ko&rclk=1,695,4.2
17,Vietnam,Quang Binh Province,Ninh Binh Bear Sanctuary,,,,,,https://www.google.com/maps/place/Ninh+Binh+Bear+Sanctuary/data=!4m7!3m6!1s0x31368797a27c80df:0x257de04cffe4bc40!8m2!3d20.2078615!4d105.7634523!16s%2Fg%2F11gmdx3nvl!19sChIJ34B8opeHNjERQLzk_0zgfSU?authuser=0&hl=ko&rclk=1,656,4.8
18,Vietnam,Quang Binh Province,Ta Con Airport Relic Museum,,,,,,https://www.google.com/maps/place/Ta+Con+Airport+Relic+Museum/data=!4m7!3m6!1s0x3140888266041b83:0xfc480f853e4ce9b1!8m2!3d16.6537081!4d106.7244466!16s%2Fg%2F11_pr0k5c!19sChIJgxsEZoKIQDERselMPoUPSPw?authuser=0&hl=ko&rclk=1,634,4.3
19,Vietnam,Quang Binh Province,Phong Nha Farmstay,,,,,,https://www.google.com/maps/place/Phong+Nha+Farmstay/data=!4m10!3m9!1s0x3138a4859ad84f09:0x3828ddbb7a59bcd!5m2!4m1!1i2!8m2!3d17.6244259!4d106.3852997!16s%2Fg%2F1vxcsx1m!19sChIJCU_YmoWkODERzZult9uNggM?authuser=0&hl=ko&rclk=1,548,4.7
20,Vietnam,Quang Binh Province,Sand Hill Nhan Trach,,,,,,https://www.google.com/maps/place/Sand+Hill+Nhan+Trach/data=!4m7!3m6!1s0x314759d0f974269f:0x9adc122e21a872f7!8m2!3d17.5316495!4d106.5944609!16s%2Fg%2F11c1www2pt!19sChIJnyZ0-dBZRzER93KoIS4S3Jo?authuser=0&hl=ko&rclk=1,493,4.4
21,Vietnam,Quang Binh Province,Phong Nha - Ke Bang National Park,,,"강이 흐르는 동굴, 강, 폭포 등이 어우러져 있으며 열대 우림이 울창한 국립공원입니다.",,,https://www.google.com/maps/place/Phong+Nha+-+Ke+Bang+National+Park/data=!4m7!3m6!1s0x3138ba4e96f40ad5:0x5d3b4a2c611e58b0!8m2!3d17.477679!4d106.1340395!16zL20vMDR6OGxi!19sChIJ1Qr0lk66ODERsFgeYSxKO10?authuser=0&hl=ko&rclk=1,458,4.7
22,Vietnam,Quang Binh Province,Quảng trường Hồ Chí Minh,,,,,,https://www.google.com/maps/place/Qu%E1%BA%A3ng+tr%C6%B0%E1%BB%9Dng+H%E1%BB%93+Ch%C3%AD+Minh/data=!4m7!3m6!1s0x314757bc96b35507:0xc57ec7b7224f20b6!8m2!3d17.4679906!4d106.6221448!16s%2Fg%2F11fw9m_c6r!19sChIJB1WzlrxXRzERtiBPIrfHfsU?authuser=0&hl=ko&rclk=1,442,4.7
23,Vietnam,Quang Binh Province,부꽝국립공원,,,,,,https://www.google.com/maps/place/%EB%B6%80%EA%BD%9D%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3139a16298df45d9:0xc3a8a019372560eb!8m2!3d18.2865589!4d105.4771085!16s%2Fm%2F03ntlgm!19sChIJ2UXfmGKhOTER62AlNxmgqMM?authuser=0&hl=ko&rclk=1,430,4.6
