data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Quy Nhon,Ky Co Beach,,,,,,https://www.google.com/maps/place/Ky+Co+Beach/data=!4m7!3m6!1s0x316f69f22c9fe315:0x2307fe5753f84473!8m2!3d13.8499207!4d109.291844!16s%2Fg%2F11c5rsmsnn!19sChIJFeOfLPJpbzERc0T4U1f-ByM?authuser=0&hl=ko&rclk=1,3297,4.4
2,Vietnam,Quy Nhon,Công ty du lịch Quy Nhơn Tourist,,,,,,https://www.google.com/maps/place/C%C3%B4ng+ty+du+l%E1%BB%8Bch+Quy+Nh%C6%A1n+Tourist/data=!4m7!3m6!1s0x316f6c8eac344245:0x1d051a7e65f1519e!8m2!3d13.7688811!4d109.2235553!16s%2Fg%2F11c5_4qft5!19sChIJRUI0rI5sbzERnlHxZX4aBR0?authuser=0&hl=ko&rclk=1,2272,5.0
3,Vietnam,Quy Nhon,Linh Phong - Ong Nui Temple,,,,,,https://www.google.com/maps/place/Linh+Phong+-+Ong+Nui+Temple/data=!4m7!3m6!1s0x316f4129738f166d:0x54303898e3a494d5!8m2!3d13.9529051!4d109.234498!16s%2Fg%2F1hc6mvrbf!19sChIJbRaPcylBbzER1ZSk45g4MFQ?authuser=0&hl=ko&rclk=1,1951,4.6
4,Vietnam,Quy Nhon,Banh It Cham Temple (Yang M'Tian),,,,,,https://www.google.com/maps/place/Banh+It+Cham+Temple+%28Yang+M%27Tian%29/data=!4m7!3m6!1s0x316f159c986c3765:0x4c6a05f261e9ec0b!8m2!3d13.8684236!4d109.1352191!16s%2Fg%2F121x75h_!19sChIJZTdsmJwVbzERC-zpYfIFakw?authuser=0&hl=ko&rclk=1,1843,4.5
5,Vietnam,Quy Nhon,Bãi trứng - khu du lịch Ghềnh Ráng,,,,,,https://www.google.com/maps/place/B%C3%A3i+tr%E1%BB%A9ng+-+khu+du+l%E1%BB%8Bch+Gh%E1%BB%81nh+R%C3%A1ng/data=!4m7!3m6!1s0x316f6ce1c482d797:0x7cbc4cd34058945b!8m2!3d13.7423125!4d109.2158125!16s%2Fg%2F11bx98r806!19sChIJl9eCxOFsbzERW5RYQNNMvHw?authuser=0&hl=ko&rclk=1,1633,4.2
6,Vietnam,Quy Nhon,Núi Vũng Chua,,,,,,https://www.google.com/maps/place/N%C3%BAi+V%C5%A9ng+Chua/data=!4m7!3m6!1s0x316f6d59a036da5f:0x19a8f4979c88e742!8m2!3d13.7424301!4d109.195728!16s%2Fg%2F11rtz91nkn!19sChIJX9o2oFltbzERQueInJf0qBk?authuser=0&hl=ko&rclk=1,1357,4.9
7,Vietnam,Quy Nhon,Queen's Beach,,,이 반들반들한 암석이 많은 바닷가는 반도가 보이는 멋진 전경과 인근에 있는 이전의 나병 환자촌으로 잘 알려져 있습니다.,,,https://www.google.com/maps/place/Queen%27s+Beach/data=!4m7!3m6!1s0x316f6ce10755c9d9:0x50dc54c48423e3d9!8m2!3d13.742366!4d109.2156729!16s%2Fg%2F11p4_sw2dh!19sChIJ2clVB-FsbzER2eMjhMRU3FA?authuser=0&hl=ko&rclk=1,1243,4.1
8,Vietnam,Quy Nhon,Hoàng Thao Sea View - Hải sản Quy Nhơn,,,,,,https://www.google.com/maps/place/Ho%C3%A0ng+Thao+Sea+View+-+H%E1%BA%A3i+s%E1%BA%A3n+Quy+Nh%C6%A1n/data=!4m7!3m6!1s0x316f434f88e05eaf:0x69019ce1327fce39!8m2!3d13.8860028!4d109.2851991!16s%2Fg%2F11h_6lbjcc!19sChIJr17giE9DbzEROc5_MuGcAWk?authuser=0&hl=ko&rclk=1,927,4.4
9,Vietnam,Quy Nhon,Market 6,,,,,,https://www.google.com/maps/place/Market+6/data=!4m7!3m6!1s0x316f6c949217dc2d:0xc2b89faab430c1ea!8m2!3d13.7657593!4d109.2160297!16s%2Fg%2F1hhx64x8m!19sChIJLdwXkpRsbzER6sEwtKqfuMI?authuser=0&hl=ko&rclk=1,826,4.1
10,Vietnam,Quy Nhon,Bãi biển Quy Nhơn,,,푸르른 언덕과 편안한 분위기의 해변 바 옆에 위치한 긴 모래 해변으로 수영과 수상 스포츠를 즐길 수 있습니다.,,,https://www.google.com/maps/place/B%C3%A3i+bi%E1%BB%83n+Quy+Nh%C6%A1n/data=!4m7!3m6!1s0x316f6cef507b6831:0x3d175f985ce9ba64!8m2!3d13.7627919!4d109.2246122!16s%2Fg%2F11b8zw6dm6!19sChIJMWh7UO9sbzERZLrpXJhfFz0?authuser=0&hl=ko&rclk=1,817,4.5
