data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Sapa,깟깟 관광마을(Cat Cat Tourism Village),"월, 화, 수, 목, 금, 토, 일: 06:00~18:00",,,,국제전화번호: +84 943 602 200,https://www.google.com/maps/place/?q=place_id:ChIJRw6-GGhBzTYRj_lOznCVygw,7561,4.1
2,Vietnam,Sapa,깟깟 관광마을,,,,,,https://www.google.com/maps/place/%EA%B9%9F%EA%B9%9F+%EA%B4%80%EA%B4%91%EB%A7%88%EC%9D%84/data=!4m7!3m6!1s0x36cd416818be0e47:0xcca9570ce4ef98f!8m2!3d22.3310248!4d103.8339731!16s%2Fg%2F11b6r09l6x!19sChIJRw6-GGhBzTYRj_lOznCVygw?authuser=0&hl=ko&rclk=1,7546,4.1
3,Vietnam,Sapa,사파 노트르담 성당(Notre Dame Cathedral),"월, 화, 수, 목, 금, 토, 일: 06:00~21:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJZ30wZWtBzTYRUBDrzMF6zMU,6743,4.4
4,Vietnam,Sapa,사파 노트르담 성당,,,프랑스인이 1895년에 지은 로마 고딕 건축 양식의 석조 성당으로 종탑이 있습니다.,,,https://www.google.com/maps/place/%EC%82%AC%ED%8C%8C+%EB%85%B8%ED%8A%B8%EB%A5%B4%EB%8B%B4+%EC%84%B1%EB%8B%B9/data=!4m7!3m6!1s0x36cd416b65307d67:0xc5cc7ac1cceb1050!8m2!3d22.3350753!4d103.8423353!16s%2Fg%2F1tdz7qjx!19sChIJZ30wZWtBzTYRUBDrzMF6zMU?authuser=0&hl=ko&rclk=1,6731,4.4
5,Vietnam,Sapa,Hôtel de la Coupole - MGallery,,,,,국제전화번호: +84 214 3629 999 홈페이지: https://www.hoteldelacoupole.com/,https://www.google.com/maps/place/?q=place_id:ChIJPaaO7GtBzTYRMX3k6hslc64,3599,4.9
6,Vietnam,Sapa,깟깟 물레방아,,,,,,https://www.google.com/maps/place/%EA%B9%9F%EA%B9%9F+%EB%AC%BC%EB%A0%88%EB%B0%A9%EC%95%84/data=!4m7!3m6!1s0x36cd41f3413bd017:0xa5dbec96e46e54ea!8m2!3d22.327698!4d103.8336978!16s%2Fg%2F11fk1k8b03!19sChIJF9A7QfNBzTYR6lRu5Jbs26U?authuser=0&hl=ko&rclk=1,2440,4.3
7,Vietnam,Sapa,Hoang A Tuong Palace,,,,,국제전화번호: +84 214 3780 662 홈페이지: https://laocaitourism.vn/,https://www.google.com/maps/place/?q=place_id:ChIJIVFk163izDYRjGgggKqz_Ow,1921,4.2
8,Vietnam,Sapa,함롱산(Khu Du Lịch Sinh Thái Hàm Rồng SaPa),"월, 화, 수, 목, 일: 07:00~17:00; 금, 토: 06:30~17:00",,,,국제전화번호: +84 862 880 246 홈페이지: http://www.hamrongsapa.com/,https://www.google.com/maps/place/?q=place_id:ChIJgSz2sRRBzTYR9-ob-yVXx28,1824,4.3
9,Vietnam,Sapa,함롱산,,,사파를 내려다보는 봉우리로 구불거리는 길이 조성되어 있으며 옆으로는 용 머리 모양의 정상까지 초목이 무성합니다.,,,https://www.google.com/maps/place/%ED%95%A8%EB%A1%B1%EC%82%B0/data=!4m7!3m6!1s0x36cd4114b1f62c81:0x6fc75725fb1beaf7!8m2!3d22.334574!4d103.8477709!16s%2Fg%2F11csrhhs0r!19sChIJgSz2sRRBzTYR9-ob-yVXx28?authuser=0&hl=ko&rclk=1,1824,4.3
10,Vietnam,Sapa,Silver Waterfall,"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,홈페이지: https://www.facebook.com/SaPaTravelOfficial,https://www.google.com/maps/place/?q=place_id:ChIJe22w_2NDzTYRhHjaqCu44lc,1433,4.1
11,Vietnam,Sapa,Chợ Sapa,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJp7kougJBzTYR9qn7zoF9ZyQ,1332,4.1
12,Vietnam,Sapa,토파스 에코롯지,,,,,,https://www.google.com/maps/place/%ED%86%A0%ED%8C%8C%EC%8A%A4+%EC%97%90%EC%BD%94%EB%A1%AF%EC%A7%80/data=!4m10!3m9!1s0x36cd3923da55922b:0x89e2e13d87f8c475!5m2!4m1!1i2!8m2!3d22.276207!4d103.967024!16s%2Fg%2F11bc7rr1p8!19sChIJK5JV2iM5zTYRdcT4hz3h4ok?authuser=0&hl=ko&rclk=1,1143,4.6
13,Vietnam,Sapa,Khách Sạn Mường Thanh Sapa,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 214 3887 755,https://www.google.com/maps/place/?q=place_id:ChIJM9RDQ65BzTYRRWJWKmRvMrs,1084,4.5
14,Vietnam,Sapa,Mega View Homestay,,,,,,https://www.google.com/maps/place/Mega+View+Homestay/data=!4m10!3m9!1s0x36cd41681646c3a5:0xcaf32a18be64d028!5m2!4m1!1i2!8m2!3d22.3319986!4d103.8433668!16s%2Fg%2F11jx58nxdh!19sChIJpcNGFmhBzTYRKNBkvhgq88o?authuser=0&hl=ko&rclk=1,1033,4.9
15,Vietnam,Sapa,NHÀ HÀNG SAPA TV,,,,,,https://www.google.com/maps/place/NH%C3%80+H%C3%80NG+SAPA+TV/data=!4m7!3m6!1s0x36cd417847bea25d:0x8ef9413487ed3e3f!8m2!3d22.3362721!4d103.8453197!16s%2Fg%2F11q9z1whw2!19sChIJXaK-R3hBzTYRPz7thzRB-Y4?authuser=0&hl=ko&rclk=1,1031,4.3
16,Vietnam,Sapa,Sun World Fansipan,"월, 화, 수, 목, 금, 토, 일: 09:00~15:00",,,,홈페이지: http://sunworld.vn/,https://www.google.com/maps/place/?q=place_id:ChIJK_43TMZBzTYRGZdNwqhQ7hY,961,4.6
17,Vietnam,Sapa,사랑의 폭포(Love Waterfall),"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9dWnEwZDzTYRPJsQAxhYfnQ,901,4.5
18,Vietnam,Sapa,사랑의 폭포,,,,,,https://www.google.com/maps/place/%EC%82%AC%EB%9E%91%EC%9D%98+%ED%8F%AD%ED%8F%AC/data=!4m7!3m6!1s0x36cd430613a7d5f5:0x747e581803109b3c!8m2!3d22.3470257!4d103.7722152!16s%2Fg%2F11clwn7z45!19sChIJ9dWnEwZDzTYRPJsQAxhYfnQ?authuser=0&hl=ko&rclk=1,899,4.5
19,Vietnam,Sapa,Sapa Ancient Stone Gallery,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJk6PIaMlAzTYRKqINUY9DvEI,776,4.0
20,Vietnam,Sapa,The roof of Indochina,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJCW8JPN1FzTYR0G6abUfiiR4,759,4.7
