data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Sapa,깟깟 관광마을(Cat Cat Tourism Village),"월, 화, 수, 목, 금, 토, 일: 06:00~18:00",,,,국제전화번호: +84 943 602 200,https://www.google.com/maps/place/?q=place_id:ChIJRw6-GGhBzTYRj_lOznCVygw,7561,4.1
2,Vietnam,Sapa,사파 노트르담 성당(Notre Dame Cathedral),"월, 화, 수, 목, 금, 토, 일: 06:00~21:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJZ30wZWtBzTYRUBDrzMF6zMU,6743,4.4
3,Vietnam,Sapa,Hôtel de la Coupole - MGallery,,,,,국제전화번호: +84 214 3629 999 홈페이지: https://www.hoteldelacoupole.com/,https://www.google.com/maps/place/?q=place_id:ChIJPaaO7GtBzTYRMX3k6hslc64,3599,4.9
4,Vietnam,Sapa,Hoang A Tuong Palace,,,,,국제전화번호: +84 214 3780 662 홈페이지: https://laocaitourism.vn/,https://www.google.com/maps/place/?q=place_id:ChIJIVFk163izDYRjGgggKqz_Ow,1921,4.2
5,Vietnam,Sapa,함롱산(Khu Du Lịch Sinh Thái Hàm Rồng SaPa),"월, 화, 수, 목, 일: 07:00~17:00; 금, 토: 06:30~17:00",,,,국제전화번호: +84 862 880 246 홈페이지: http://www.hamrongsapa.com/,https://www.google.com/maps/place/?q=place_id:ChIJgSz2sRRBzTYR9-ob-yVXx28,1824,4.3
6,Vietnam,Sapa,Silver Waterfall,"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,홈페이지: https://www.facebook.com/SaPaTravelOfficial,https://www.google.com/maps/place/?q=place_id:ChIJe22w_2NDzTYRhHjaqCu44lc,1433,4.1
7,Vietnam,Sapa,Chợ Sapa,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJp7kougJBzTYR9qn7zoF9ZyQ,1332,4.1
8,Vietnam,Sapa,Khách Sạn Mường Thanh Sapa,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 214 3887 755,https://www.google.com/maps/place/?q=place_id:ChIJM9RDQ65BzTYRRWJWKmRvMrs,1084,4.5
9,Vietnam,Sapa,Sun World Fansipan,"월, 화, 수, 목, 금, 토, 일: 09:00~15:00",,,,홈페이지: http://sunworld.vn/,https://www.google.com/maps/place/?q=place_id:ChIJK_43TMZBzTYRGZdNwqhQ7hY,961,4.6
10,Vietnam,Sapa,사랑의 폭포(Love Waterfall),"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9dWnEwZDzTYRPJsQAxhYfnQ,901,4.5
