data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Tam Dao,Tam Dao Golf Course,,,종종 안개가 끼는 울창한 봉우리에 둘러싸인 산비탈의 골프 코스로 별장 같은 클럽하우스를 갖추고 있습니다.,,,https://www.google.com/maps/place/Tam+Dao+Golf+Course/data=!4m7!3m6!1s0x3134e5552da78f71:0x5810f597c998af75!8m2!3d21.4098761!4d105.6267281!16s%2Fg%2F1hc368kxn!19sChIJcY-nLVXlNDERda-YyZf1EFg?authuser=0&hl=ko&rclk=1,2020,4.3
2,Vietnam,Tam Dao,Tam Dao Market,,,,,,https://www.google.com/maps/place/Tam+Dao+Market/data=!4m7!3m6!1s0x3134e706331b7619:0x7843374f32864598!8m2!3d21.455374!4d105.6451591!16s%2Fg%2F1w4f5l2w!19sChIJGXYbMwbnNDERmEWGMk83Q3g?authuser=0&hl=ko&rclk=1,1314,3.9
3,Vietnam,Tam Dao,Cầu Mây Tam Đảo,,,,,,https://www.google.com/maps/place/C%E1%BA%A7u+M%C3%A2y+Tam+%C4%90%E1%BA%A3o/data=!4m7!3m6!1s0x3134e7f9ee7e6df5:0x984271f94cf460f!8m2!3d21.4515648!4d105.6369008!16s%2Fg%2F11jkq41nh6!19sChIJ9W1-7vnnNDERD0bPlB8nhAk?authuser=0&hl=ko&rclk=1,1272,4.4
4,Vietnam,Tam Dao,Tay Thien Tam Quan Gate,,,,,,https://www.google.com/maps/place/Tay+Thien+Tam+Quan+Gate/data=!4m7!3m6!1s0x3134e8663356fa1f:0x60ee97dc8b03b68e!8m2!3d21.4615512!4d105.5734038!16s%2Fg%2F11c4b6tvb8!19sChIJH_pWM2boNDERjrYDi9yX7mA?authuser=0&hl=ko&rclk=1,1182,4.4
5,Vietnam,Tam Dao,90s Homestay Tam Đảo,,,,,,https://www.google.com/maps/place/90s+Homestay+Tam+%C4%90%E1%BA%A3o/data=!4m7!3m6!1s0x3135ac11fe390cf5:0x53c2ddf3e66458a8!8m2!3d21.452695!4d105.6408119!16s%2Fg%2F11c2qnyqpk!19sChIJ9Qw5_hGsNTERqFhk5vPdwlM?authuser=0&hl=ko&rclk=1,577,4.2
6,Vietnam,Tam Dao,Lady Chua Thuong Ngan Temple,,,,,,https://www.google.com/maps/place/Lady+Chua+Thuong+Ngan+Temple/data=!4m7!3m6!1s0x3134e70ee65bb64d:0x630b1fc700971f09!8m2!3d21.4596365!4d105.6481623!16s%2Fg%2F1q678986_!19sChIJTbZb5g7nNDERCR-XAMcfC2M?authuser=0&hl=ko&rclk=1,301,4.6
7,Vietnam,Tam Dao,Zo Star Hotels,,,,,,https://www.google.com/maps/place/Zo+Star+Hotels/data=!4m10!3m9!1s0x3134e70921c0e3e5:0xc25ba4858b2f2ed8!5m2!4m1!1i2!8m2!3d21.456214!4d105.6438714!16s%2Fg%2F1hf3rgyy4!19sChIJ5ePAIQnnNDER2C4vi4WkW8I?authuser=0&hl=ko&rclk=1,203,3.7
8,Vietnam,Tam Dao,Điểm Dừng Nghỉ IC4 - Tam Đảo Xanh,,,,,,https://www.google.com/maps/place/%C4%90i%E1%BB%83m+D%E1%BB%ABng+Ngh%E1%BB%89+IC4+-+Tam+%C4%90%E1%BA%A3o+Xanh/data=!4m7!3m6!1s0x3134e5c0aade2e0d:0x5c0ee5b12fe6279b!8m2!3d21.3542794!4d105.607199!16s%2Fg%2F11ssqb3fp5!19sChIJDS7eqsDlNDERmyfmL7HlDlw?authuser=0&hl=ko&rclk=1,199,4.2
9,Vietnam,Tam Dao,QUẢNG TRƯỜNG THỜI ĐẠI,,,,,,https://www.google.com/maps/place/QU%E1%BA%A2NG+TR%C6%AF%E1%BB%9CNG+TH%E1%BB%9CI+%C4%90%E1%BA%A0I/data=!4m7!3m6!1s0x3134e701c9337c53:0xcf5d4cea1ec85ce4!8m2!3d21.4561264!4d105.6449809!16s%2Fg%2F11t4dtvg1m!19sChIJU3wzyQHnNDER5FzIHupMXc8?authuser=0&hl=ko&rclk=1,197,4.4
10,Vietnam,Tam Dao,Quán dốc Cổng Trời Tam Đảo,,,,,,https://www.google.com/maps/place/Qu%C3%A1n+d%E1%BB%91c+C%E1%BB%95ng+Tr%E1%BB%9Di+Tam+%C4%90%E1%BA%A3o/data=!4m7!3m6!1s0x3134e759166f1561:0xedbd5557059fd7d0!8m2!3d21.4554536!4d105.6414064!16s%2Fg%2F11fwgvfkrt!19sChIJYRVvFlnnNDER0NefBVdVve0?authuser=0&hl=ko&rclk=1,158,4.0
11,Vietnam,Tam Dao,Thiền viện Trúc Lâm An Tâm,,,,,,https://www.google.com/maps/place/Thi%E1%BB%81n+vi%E1%BB%87n+Tr%C3%BAc+L%C3%A2m+An+T%C3%A2m/data=!4m7!3m6!1s0x3134e8707f05edef:0x945b91103cc6786f!8m2!3d21.4618671!4d105.5849547!16s%2Fg%2F11c533pv46!19sChIJ7-0Ff3DoNDERb3jGPBCRW5Q?authuser=0&hl=ko&rclk=1,156,4.6
12,Vietnam,Tam Dao,Nhà Hàng Dân Tộc Quán Tam Đảo,,,,,,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+D%C3%A2n+T%E1%BB%99c+Qu%C3%A1n+Tam+%C4%90%E1%BA%A3o/data=!4m7!3m6!1s0x3134e5a0beb30b23:0xf579aaa066b31a82!8m2!3d21.4143584!4d105.6212684!16s%2Fg%2F11vfb40rlr!19sChIJIwuzvqDlNDERghqzZqCqefU?authuser=0&hl=ko&rclk=1,148,4.9
13,Vietnam,Tam Dao,Cổng Trời Tam Đảo,,,,,,https://www.google.com/maps/place/C%E1%BB%95ng+Tr%E1%BB%9Di+Tam+%C4%90%E1%BA%A3o/data=!4m7!3m6!1s0x3134e7bdb2a7cebb:0x5413fb6a1640a9ab!8m2!3d21.456724!4d105.6407527!16s%2Fg%2F11tx__k3dh!19sChIJu86nsr3nNDERq6lAFmr7E1Q?authuser=0&hl=ko&rclk=1,139,4.1
14,Vietnam,Tam Dao,Sunset Villa Tam Đảo,,,,,,https://www.google.com/maps/place/Sunset+Villa+Tam+%C4%90%E1%BA%A3o/data=!4m10!3m9!1s0x3134e7547055cd33:0xbedc0a32b24612c1!5m2!4m1!1i2!8m2!3d21.4551719!4d105.6383664!16s%2Fg%2F11jbh9ygf6!19sChIJM81VcFTnNDERwRJGsjIK3L4?authuser=0&hl=ko&rclk=1,138,4.0
15,Vietnam,Tam Dao,Tam Dao Nord,,,,,,https://www.google.com/maps/place/Tam+Dao+Nord/data=!4m7!3m6!1s0x3134c39f8a8df46b:0xba8f68742b77be14!8m2!3d21.5733333!4d105.5441666!16s%2Fg%2F1tfb8m8y!19sChIJa_SNip_DNDERFL53K3Roj7o?authuser=0&hl=ko&rclk=1,133,4.5
16,Vietnam,Tam Dao,"Tam Quan market, Tam Dao, Vinh Phuc",,,,,,"https://www.google.com/maps/place/Tam+Quan+market,+Tam+Dao,+Vinh+Phuc/data=!4m7!3m6!1s0x3134e8bb8e664383:0x929151432507557!8m2!3d21.4204735!4d105.5778952!16s%2Fg%2F11fxzz63qs!19sChIJg0NmjrvoNDERV3VQMhQVKQk?authuser=0&hl=ko&rclk=1",122,4.0
17,Vietnam,Tam Dao,National Mother Tay Thien Trinh Temple,,,,,,https://www.google.com/maps/place/National+Mother+Tay+Thien+Trinh+Temple/data=!4m7!3m6!1s0x3134e88d7a27939b:0x9a29e82fa3014825!8m2!3d21.440322!4d105.573597!16s%2Fg%2F1vpq4b97!19sChIJm5Mneo3oNDERJUgBoy_oKZo?authuser=0&hl=ko&rclk=1,86,4.5
18,Vietnam,Tam Dao,Mơ Màng Coffee & Show Tam Đảo,,,,,,https://www.google.com/maps/place/M%C6%A1+M%C3%A0ng+Coffee+%26+Show+Tam+%C4%90%E1%BA%A3o/data=!4m10!3m9!1s0x3134e7230f2f6cb3:0x879a14fe1dc8956c!5m2!4m1!1i2!8m2!3d21.4529248!4d105.6410608!16s%2Fg%2F11t7t090pz!19sChIJs2wvDyPnNDERbJXIHf4Umoc?authuser=0&hl=ko&rclk=1,84,4.1
19,Vietnam,Tam Dao,Hồ Xạ Hương,,,,,,https://www.google.com/maps/place/H%E1%BB%93+X%E1%BA%A1+H%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x3134e68631f086bb:0xeb01e1097fa81d1f!8m2!3d21.410102!4d105.6478509!16s%2Fg%2F119pfp6z3!19sChIJu4bwMYbmNDERHx2ofwnhAes?authuser=0&hl=ko&rclk=1,83,4.4
20,Vietnam,Tam Dao,Thác Thậm Thình,,,,,,https://www.google.com/maps/place/Th%C3%A1c+Th%E1%BA%ADm+Th%C3%ACnh/data=!4m7!3m6!1s0x3134e7ab2d0599dd:0x41e268b50b3b8d9b!8m2!3d21.3968984!4d105.6598843!16s%2Fg%2F11gxjxy6sz!19sChIJ3ZkFLavnNDERm407C7Vo4kE?authuser=0&hl=ko&rclk=1,83,4.3
21,Vietnam,Tam Dao,Quảng Trường Hợp Châu,,,,,,https://www.google.com/maps/place/Qu%E1%BA%A3ng+Tr%C6%B0%E1%BB%9Dng+H%E1%BB%A3p+Ch%C3%A2u/data=!4m7!3m6!1s0x3134e50eac306459:0xd2669e49655e2aef!8m2!3d21.3924777!4d105.6177179!16s%2Fg%2F11ppg_j_tq!19sChIJWWQwrA7lNDER7ypeZUmeZtI?authuser=0&hl=ko&rclk=1,78,4.5
22,Vietnam,Tam Dao,Trạm dừng nghỉ Tam Đảo,,,,,,https://www.google.com/maps/place/Tr%E1%BA%A1m+d%E1%BB%ABng+ngh%E1%BB%89+Tam+%C4%90%E1%BA%A3o/data=!4m7!3m6!1s0x3134e5ea95511d75:0xa8d9e92312d5ffb0!8m2!3d21.368107!4d105.6057067!16s%2Fg%2F11h_yht119!19sChIJdR1RlerlNDERsP_VEiPp2ag?authuser=0&hl=ko&rclk=1,54,4.0
23,Vietnam,Tam Dao,GARDEN FLOWER TAM ĐẢO,,,,,,https://www.google.com/maps/place/GARDEN+FLOWER+TAM+%C4%90%E1%BA%A2O/data=!4m10!3m9!1s0x3134e7be29fc9069:0x2d5f4a6d626c3c61!5m2!4m1!1i2!8m2!3d21.4542832!4d105.6409463!16s%2Fg%2F11j4kcm476!19sChIJaZD8Kb7nNDERYTxsYm1KXy0?authuser=0&hl=ko&rclk=1,52,4.0
24,Vietnam,Tam Dao,"Thị trấn Tam đảo, Vĩnh Phúc",,,,,,"https://www.google.com/maps/place/Th%E1%BB%8B+tr%E1%BA%A5n+Tam+%C4%91%E1%BA%A3o,+V%C4%A9nh+Ph%C3%BAc/data=!4m7!3m6!1s0x3134e7d3bdf8e429:0xd3b6d607e38d252a!8m2!3d21.4559588!4d105.6445092!16s%2Fg%2F11ssjz5v67!19sChIJKeT4vdPnNDERKiWN4wfWttM?authuser=0&hl=ko&rclk=1",52,4.3
25,Vietnam,Tam Dao,땀다오 19번홀 TAM DAO 19 HOLE,,,,,,https://www.google.com/maps/place/%EB%95%80%EB%8B%A4%EC%98%A4+19%EB%B2%88%ED%99%80+TAM+DAO+19+HOLE/data=!4m7!3m6!1s0x3134e7211d1c4a5d:0x2f3f35e028969d83!8m2!3d21.4044446!4d105.6201405!16s%2Fg%2F11sfq6v932!19sChIJXUocHSHnNDERg52WKOA1Py8?authuser=0&hl=ko&rclk=1,50,4.3
26,Vietnam,Tam Dao,Điện Lực Tam Đảo,,,,,,https://www.google.com/maps/place/%C4%90i%E1%BB%87n+L%E1%BB%B1c+Tam+%C4%90%E1%BA%A3o/data=!4m7!3m6!1s0x3134e5e072f2a963:0x33f9c0784d1c4d4d!8m2!3d21.3990104!4d105.6169143!16s%2Fg%2F11clygymq7!19sChIJY6nycuDlNDERTU0cTXjA-TM?authuser=0&hl=ko&rclk=1,37,3.9
27,Vietnam,Tam Dao,Thác Vĩnh Ninh,,,,,,https://www.google.com/maps/place/Th%C3%A1c+V%C4%A9nh+Ninh/data=!4m7!3m6!1s0x3134c3a26c2118e7:0xff0f12ee8a607f41!8m2!3d21.5424471!4d105.542481!16s%2Fg%2F11gznfh1t_!19sChIJ5xghbKLDNDERQX9giu4SD_8?authuser=0&hl=ko&rclk=1,36,4.4
28,Vietnam,Tam Dao,Chùa Địa Ngục,,,,,,https://www.google.com/maps/place/Ch%C3%B9a+%C4%90%E1%BB%8Ba+Ng%E1%BB%A5c/data=!4m7!3m6!1s0x3134dd5eab62b5b9:0x7f7737692ee4e5b!8m2!3d21.5005334!4d105.6133672!16s%2Fg%2F11c5h3w7k5!19sChIJubViq17dNDERW07uknZz9wc?authuser=0&hl=ko&rclk=1,33,4.5
29,Vietnam,Tam Dao,CỔNG TRỜI TAM ĐẢO,,,,,,https://www.google.com/maps/place/C%E1%BB%94NG+TR%E1%BB%9CI+TAM+%C4%90%E1%BA%A2O/data=!4m7!3m6!1s0x3134e7c2aa1ed4b7:0x777e01d6cb98ac7b!8m2!3d21.4567386!4d105.640515!16s%2Fg%2F11txtyb545!19sChIJt9QeqsLnNDERe6yYy9YBfnc?authuser=0&hl=ko&rclk=1,33,4.5
