data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Thai Binh,Trang An,,,강 동굴과 아름다운 풍경을 보기 위해 방문객이 모여드는 그림 같은 자연 지역에서 나룻배 투어도 즐길 수 있습니다.,,,https://www.google.com/maps/place/Trang+An/data=!4m7!3m6!1s0x31367962d4d0d42f:0x6453c0ecf99fd572!8m2!3d20.2526659!4d105.9182585!16s%2Fg%2F1q5bl7cxd!19sChIJL9TQ1GJ5NjERctWf-ezAU2Q?authuser=0&hl=ko&rclk=1,13981,4.6
2,Vietnam,Thai Binh,Bãi biển Cồn Vành,,,,,,https://www.google.com/maps/place/B%C3%A3i+bi%E1%BB%83n+C%E1%BB%93n+V%C3%A0nh/data=!4m7!3m6!1s0x3149ff4242e6286d:0xd6d6393fd28c7ec6!8m2!3d20.2735635!4d106.6049736!16s%2Fg%2F1tg7zyt_!19sChIJbSjmQkL_STERxn6M0j851tY?authuser=0&hl=ko&rclk=1,3464,3.9
3,Vietnam,Thai Binh,Vincom Plaza Thái Bình,,,,,,https://www.google.com/maps/place/Vincom+Plaza+Th%C3%A1i+B%C3%ACnh/data=!4m7!3m6!1s0x3135e4d0d989cbc9:0xe5a12f65a4a9774a!8m2!3d20.4446664!4d106.3370843!16s%2Fg%2F11bxg0wb7b!19sChIJycuJ2dDkNTERSneppGUvoeU?authuser=0&hl=ko&rclk=1,3146,4.4
4,Vietnam,Thai Binh,Keo Pagoda,,,,,,https://www.google.com/maps/place/Keo+Pagoda/data=!4m7!3m6!1s0x3135e25511aade3f:0xc8bdc62accca981b!8m2!3d20.3609862!4d106.2971985!16s%2Fm%2F05szgmk!19sChIJP96qEVXiNTERG5jKzCrGvcg?authuser=0&hl=ko&rclk=1,2925,4.6
5,Vietnam,Thai Binh,Thái Bình Museum,,,,,,https://www.google.com/maps/place/Th%C3%A1i+B%C3%ACnh+Museum/data=!4m7!3m6!1s0x3135e4d7316d5ee1:0x69d4e65269ff78b3!8m2!3d20.4529653!4d106.3483069!16s%2Fg%2F1tgcjs5k!19sChIJ4V5tMdfkNTERs3j_aVLm1Gk?authuser=0&hl=ko&rclk=1,2265,4.4
6,Vietnam,Thai Binh,Bo Market,,,,,,https://www.google.com/maps/place/Bo+Market/data=!4m7!3m6!1s0x3135e529ba5580b7:0x47ffb859ea361687!8m2!3d20.4532065!4d106.3392528!16s%2Fg%2F1hc2bhxhm!19sChIJt4BVuinlNTERhxY26lm4_0c?authuser=0&hl=ko&rclk=1,1747,4.2
7,Vietnam,Thai Binh,Khu Du Lịch Biển Cồn Đen,,,,,,https://www.google.com/maps/place/Khu+Du+L%E1%BB%8Bch+Bi%E1%BB%83n+C%E1%BB%93n+%C4%90en/data=!4m7!3m6!1s0x314a0897462c2595:0xb8463f16dbc4a9b0!8m2!3d20.4874692!4d106.6025731!16s%2Fg%2F1tlbr67q!19sChIJlSUsRpcISjERsKnE2xY_Rrg?authuser=0&hl=ko&rclk=1,1650,3.7
8,Vietnam,Thai Binh,밴롱 습지 자연보호구역,,,경치가 아름다운 자연 보호 구역으로 멸종 위기종인 델라쿠르랑구르 원숭이의 서식지이며 보트 투어를 즐길 수 있습니다.,,,https://www.google.com/maps/place/%EB%B0%B4%EB%A1%B1+%EC%8A%B5%EC%A7%80+%EC%9E%90%EC%97%B0%EB%B3%B4%ED%98%B8%EA%B5%AC%EC%97%AD/data=!4m7!3m6!1s0x3135d604306b0d97:0x4baa25808b926bb!8m2!3d20.3725061!4d105.8827399!16s%2Fg%2F122npbp7!19sChIJlw1rMATWNTERuya5CFiiugQ?authuser=0&hl=ko&rclk=1,1551,4.4
9,Vietnam,Thai Binh,Quảng Trường Thái Bình,,,,,,https://www.google.com/maps/place/Qu%E1%BA%A3ng+Tr%C6%B0%E1%BB%9Dng+Th%C3%A1i+B%C3%ACnh/data=!4m7!3m6!1s0x3135fbc3d7d24c33:0xdeea6b2436af2918!8m2!3d20.4732921!4d106.3665415!16s%2Fg%2F11f9_458lk!19sChIJM0zS18P7NTERGCmvNiRr6t4?authuser=0&hl=ko&rclk=1,1212,4.8
10,Vietnam,Thai Binh,Buihanh,,,,,,https://www.google.com/maps/place/Buihanh/data=!4m7!3m6!1s0x3135e4c379d12e59:0xb4780ad3f3ee6b55!8m2!3d20.4374735!4d106.3290481!16s%2Fg%2F1tdb69nc!19sChIJWS7RecPkNTERVWvu89MKeLQ?authuser=0&hl=ko&rclk=1,1011,4.1
