data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Thai Nguyen,리 타이 또 동상,,,"해방, 문화, 역사를 기리는 아름다운 정원에 있는 리 타이 또 왕의 거대한 청동상입니다.",,,https://www.google.com/maps/place/%EB%A6%AC+%ED%83%80%EC%9D%B4+%EB%98%90+%EB%8F%99%EC%83%81/data=!4m7!3m6!1s0x3135abeae47b7d49:0xa1ef04051d6282c7!8m2!3d21.0274878!4d105.854445!16s%2Fg%2F11b7sv_6rk!19sChIJSX175OqrNTERx4JiHQUE76E?authuser=0&hl=ko&rclk=1,6138,4.6
2,Vietnam,Thai Nguyen,Vietnam Fine Arts Museum,,,다양한 시대에 걸친 베트남 미술 작품과 미디어 전시가 있는 식민지 시대 3층 건물입니다.,,,https://www.google.com/maps/place/Vietnam+Fine+Arts+Museum/data=!4m7!3m6!1s0x3135ab98947bdbf5:0xfd421f83a4c0ac4e!8m2!3d21.0307844!4d105.837084!16s%2Fm%2F04drtc2!19sChIJ9dt7lJirNTERTqzApIMfQv0?authuser=0&hl=ko&rclk=1,3347,4.5
3,Vietnam,Thai Nguyen,Samsung Electronics Việt Nam Thái Nguyên (SEVT),,,,,,https://www.google.com/maps/place/Samsung+Electronics+Vi%E1%BB%87t+Nam+Th%C3%A1i+Nguy%C3%AAn+%28SEVT%29/data=!4m7!3m6!1s0x313518df4349224d:0xd50dc50d5add6ba7!8m2!3d21.4248489!4d105.8919221!16s%2Fg%2F11b8_132k7!19sChIJTSJJQ98YNTERp2vdWg3FDdU?authuser=0&hl=ko&rclk=1,1789,4.5
4,Vietnam,Thai Nguyen,Cultural museum of Vietnam ethnic minority groups,,,,,,https://www.google.com/maps/place/Cultural+museum+of+Vietnam+ethnic+minority+groups/data=!4m7!3m6!1s0x313526e5a61698eb:0x775afb3ef74d7bc3!8m2!3d21.5967818!4d105.8384717!16s%2Fg%2F1225f1lg!19sChIJ65gWpuUmNTERw3tN9z77Wnc?authuser=0&hl=ko&rclk=1,1633,4.4
5,Vietnam,Thai Nguyen,타이응우엔대학교-외국어과,,,,,,https://www.google.com/maps/place/%ED%83%80%EC%9D%B4%EC%9D%91%EC%9A%B0%EC%97%94%EB%8C%80%ED%95%99%EA%B5%90-%EC%99%B8%EA%B5%AD%EC%96%B4%EA%B3%BC/data=!4m7!3m6!1s0x31352738c463681d:0x1042489db37aff5d!8m2!3d21.5911651!4d105.8072458!16s%2Fg%2F11b7c7xs1k!19sChIJHWhjxDgnNTERXf96s51IQhA?authuser=0&hl=ko&rclk=1,1426,4.9
6,Vietnam,Thai Nguyen,Thai Hai Reserve Area of Ecological Houses-on-stilts Ethnic Village,,,,,,https://www.google.com/maps/place/Thai+Hai+Reserve+Area+of+Ecological+Houses-on-stilts+Ethnic+Village/data=!4m10!3m9!1s0x313520efe75e2295:0xfcd21cea9be8213b!5m2!4m1!1i2!8m2!3d21.5332727!4d105.8145021!16s%2Fg%2F11g_9pm17!19sChIJlSJe5-8gNTEROyHom-oc0vw?authuser=0&hl=ko&rclk=1,1365,4.3
7,Vietnam,Thai Nguyen,Beta Cineplex Thái Nguyên,,,,,,https://www.google.com/maps/place/Beta+Cineplex+Th%C3%A1i+Nguy%C3%AAn/data=!4m7!3m6!1s0x3135271dc796d5f7:0xf9c95df025fc2df9!8m2!3d21.5792266!4d105.8168295!16s%2Fg%2F11bvv5bpnv!19sChIJ99WWxx0nNTER-S38JfBdyfk?authuser=0&hl=ko&rclk=1,1144,4.1
8,Vietnam,Thai Nguyen,Mo Ga Stream,,,,,,https://www.google.com/maps/place/Mo+Ga+Stream/data=!4m7!3m6!1s0x31353505cda4548f:0x538a73529b366a72!8m2!3d21.7758105!4d106.1200762!16s%2Fg%2F12hpww8mq!19sChIJj1SkzQU1NTERcmo2m1JzilM?authuser=0&hl=ko&rclk=1,1057,4.1
9,Vietnam,Thai Nguyen,Đài phun nước TP. Thái Nguyên,,,,,,https://www.google.com/maps/place/%C4%90%C3%A0i+phun+n%C6%B0%E1%BB%9Bc+TP.+Th%C3%A1i+Nguy%C3%AAn/data=!4m7!3m6!1s0x313526e5b875d095:0x26e6ef4400a2cc7f!8m2!3d21.5954473!4d105.8386813!16s%2Fg%2F11c43szzh1!19sChIJldB1uOUmNTERf8yiAETv5iY?authuser=0&hl=ko&rclk=1,772,4.4
10,Vietnam,Thai Nguyen,Đồng Quang Market,,,,,,https://www.google.com/maps/place/%C4%90%E1%BB%93ng+Quang+Market/data=!4m7!3m6!1s0x3135271f7826afb1:0xcae8666564f410d4!8m2!3d21.5893751!4d105.8266134!16s%2Fg%2F1vp6xnxc!19sChIJsa8meB8nNTER1BD0ZGVm6Mo?authuser=0&hl=ko&rclk=1,695,4.0
