data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Thanh Hoa,호아루 고대 수도,,,10세기부터 역사를 이어 온 고대 수도에 사원과 요새 유적지가 모여 있습니다.,,,https://www.google.com/maps/place/%ED%98%B8%EC%95%84%EB%A3%A8+%EA%B3%A0%EB%8C%80+%EC%88%98%EB%8F%84/data=!4m7!3m6!1s0x31367913413b466f:0xb73197d576d1ee7!8m2!3d20.2843154!4d105.9083607!16s%2Fm%2F0vb3mwh!19sChIJb0Y7QRN5NjER5x5tV30Zcws?authuser=0&hl=ko&rclk=1,7707,4.2
2,Vietnam,Thanh Hoa,Sầm Sơn Beach,,,프랑스 이주자들이 조성한 6km 길이의 백사장 해변으로 바로 옆에 식당과 바가 있습니다.,,,https://www.google.com/maps/place/S%E1%BA%A7m+S%C6%A1n+Beach/data=!4m7!3m6!1s0x3136511b077c2a6d:0xa339d8e556c8b735!8m2!3d19.7455629!4d105.907755!16s%2Fm%2F064ntqk!19sChIJbSp8BxtRNjERNbfIVuXYOaM?authuser=0&hl=ko&rclk=1,6041,4.2
3,Vietnam,Thanh Hoa,Ecotourism parks Bird Park Thung Nham,,,,,,https://www.google.com/maps/place/Ecotourism+parks+Bird+Park+Thung+Nham/data=!4m10!3m9!1s0x31367b9c87034d13:0xd65c4c5171227226!5m2!4m1!1i2!8m2!3d20.2179703!4d105.8932793!16s%2Fg%2F11b6dn5dkb!19sChIJE00Dh5x7NjERJnIicVFMXNY?authuser=0&hl=ko&rclk=1,4850,4.1
4,Vietnam,Thanh Hoa,Hon Trong Mai,,,,,,https://www.google.com/maps/place/Hon+Trong+Mai/data=!4m7!3m6!1s0x31365146e1524053:0xb50be2fe15e39ff9!8m2!3d19.7265269!4d105.8918514!16s%2Fg%2F11g_vqhf0j!19sChIJU0BS4UZRNjER-Z_jFf7iC7U?authuser=0&hl=ko&rclk=1,3051,3.8
5,Vietnam,Thanh Hoa,Melia Vinpearl Thanh Hoa,,,,,,https://www.google.com/maps/place/Melia+Vinpearl+Thanh+Hoa/data=!4m10!3m9!1s0x3136f7ff5d015ba9:0x2a1fb21a65dd1ca2!5m2!4m1!1i2!8m2!3d19.8099334!4d105.7775365!16s%2Fg%2F11f5jpypxj!19sChIJqVsBXf_3NjERohzdZRqyHyo?authuser=0&hl=ko&rclk=1,2468,4.9
6,Vietnam,Thanh Hoa,Historic Lam Kinh,,,,,,https://www.google.com/maps/place/Historic+Lam+Kinh/data=!4m7!3m6!1s0x3136e9fd289f5539:0xc17e6b6b431b1f09!8m2!3d19.9253941!4d105.4070605!16s%2Fg%2F1235kd6xh!19sChIJOVWfKP3pNjERCR8bQ2trfsE?authuser=0&hl=ko&rclk=1,2341,4.6
7,Vietnam,Thanh Hoa,호 왕조성,,,,,,https://www.google.com/maps/place/%ED%98%B8+%EC%99%95%EC%A1%B0%EC%84%B1/data=!4m7!3m6!1s0x31368d8d722ab1b3:0x9ae22e7dc79406dc!8m2!3d20.0742884!4d105.6068629!16s%2Fm%2F03cfsr2!19sChIJs7Eqco2NNjER3AaUx30u4po?authuser=0&hl=ko&rclk=1,2195,4.3
8,Vietnam,Thanh Hoa,Vuon Hoa Market,,,,,,https://www.google.com/maps/place/Vuon+Hoa+Market/data=!4m7!3m6!1s0x3136f800616a7a05:0x3ca05e4558351a68!8m2!3d19.8065716!4d105.7807835!16s%2Fg%2F1w4f5lbc!19sChIJBXpqYQD4NjERaBo1WEVeoDw?authuser=0&hl=ko&rclk=1,1888,4.1
9,Vietnam,Thanh Hoa,떠이 타잉 시장,,,,,,https://www.google.com/maps/place/%EB%96%A0%EC%9D%B4+%ED%83%80%EC%9E%89+%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x3136f81b57b9e0c7:0x498f9f03e9abe91d!8m2!3d19.8039582!4d105.769767!16s%2Fg%2F1tgq43pk!19sChIJx-C5Vxv4NjERHemr6QOfj0k?authuser=0&hl=ko&rclk=1,1730,4.0
10,Vietnam,Thanh Hoa,레 러이 동상,,,,,,https://www.google.com/maps/place/%EB%A0%88+%EB%9F%AC%EC%9D%B4+%EB%8F%99%EC%83%81/data=!4m7!3m6!1s0x3136f802296ccae9:0x8e40cdde76bf2eba!8m2!3d19.8072895!4d105.7759431!16s%2Fg%2F11c5rrklz5!19sChIJ6cpsKQL4NjERui6_dt7NQI4?authuser=0&hl=ko&rclk=1,1557,4.6
