data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Vinh Phuc,투레공원,,,"여러 종의 동물, 놀이기구, 보트, 산책로를 갖춘 도심 속 작은 동물원입니다.",,,https://www.google.com/maps/place/%ED%88%AC%EB%A0%88%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3135ab6a6de9738b:0xdc2851012dc3be70!8m2!3d21.0305802!4d105.8055016!16s%2Fg%2F11r80q0w2!19sChIJi3PpbWqrNTERcL7DLQFRKNw?authuser=0&hl=ko&rclk=1,15903,4.1
2,Vietnam,Vinh Phuc,주석관저식물원,,,"울창한 나무, 산책로, 어린이 놀이터가 있는 고요한 대규모 도시공원입니다.",,,https://www.google.com/maps/place/%EC%A3%BC%EC%84%9D%EA%B4%80%EC%A0%80%EC%8B%9D%EB%AC%BC%EC%9B%90/data=!4m7!3m6!1s0x3135aba71a17db43:0xbb2a43d5e78bc884!8m2!3d21.0416041!4d105.8310206!16s%2Fg%2F1235km_g!19sChIJQ9sXGqerNTERhMiL59VDKrs?authuser=0&hl=ko&rclk=1,7493,4.2
3,Vietnam,Vinh Phuc,리 타이 또 동상,,,"해방, 문화, 역사를 기리는 아름다운 정원에 있는 리 타이 또 왕의 거대한 청동상입니다.",,,https://www.google.com/maps/place/%EB%A6%AC+%ED%83%80%EC%9D%B4+%EB%98%90+%EB%8F%99%EC%83%81/data=!4m7!3m6!1s0x3135abeae47b7d49:0xa1ef04051d6282c7!8m2!3d21.0274878!4d105.854445!16s%2Fg%2F11b7sv_6rk!19sChIJSX175OqrNTERx4JiHQUE76E?authuser=0&hl=ko&rclk=1,6139,4.6
4,Vietnam,Vinh Phuc,타임즈 시티 아쿠아리움,,,,,,https://www.google.com/maps/place/%ED%83%80%EC%9E%84%EC%A6%88+%EC%8B%9C%ED%8B%B0+%EC%95%84%EC%BF%A0%EC%95%84%EB%A6%AC%EC%9B%80/data=!4m7!3m6!1s0x3135ac04d73a728b:0x860684496d96f110!8m2!3d20.996341!4d105.8680046!16s%2Fg%2F11btrshq6x!19sChIJi3I61wSsNTEREPGWbUmEBoY?authuser=0&hl=ko&rclk=1,4730,4.3
5,Vietnam,Vinh Phuc,Hùng Kings Temple Complex,,,,,,https://www.google.com/maps/place/H%C3%B9ng+Kings+Temple+Complex/data=!4m7!3m6!1s0x31349223310aed35:0xc2395308e6d79544!8m2!3d21.3670003!4d105.3205937!16s%2Fm%2F02w__vp!19sChIJNe0KMSOSNDERRJXX5ghTOcI?authuser=0&hl=ko&rclk=1,4136,4.6
6,Vietnam,Vinh Phuc,Vietnam Fine Arts Museum,,,다양한 시대에 걸친 베트남 미술 작품과 미디어 전시가 있는 식민지 시대 3층 건물입니다.,,,https://www.google.com/maps/place/Vietnam+Fine+Arts+Museum/data=!4m7!3m6!1s0x3135ab98947bdbf5:0xfd421f83a4c0ac4e!8m2!3d21.0307844!4d105.837084!16s%2Fm%2F04drtc2!19sChIJ9dt7lJirNTERTqzApIMfQv0?authuser=0&hl=ko&rclk=1,3349,4.5
7,Vietnam,Vinh Phuc,레닌공원,,,삼각형 모양의 작은 공원으로 벤치와 레닌 동상이 서 있는 북적이는 광장이 있습니다.,,,https://www.google.com/maps/place/%EB%A0%88%EB%8B%8C%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3135aba2a0bbaca3:0x3b46e0e48c760b64!8m2!3d21.0316947!4d105.8394483!16s%2Fg%2F122jxhbn!19sChIJo6y7oKKrNTERZAt2jOTgRjs?authuser=0&hl=ko&rclk=1,3215,4.3
8,Vietnam,Vinh Phuc,Silver Waterfall,,,,,,https://www.google.com/maps/place/Silver+Waterfall/data=!4m7!3m6!1s0x3134e707044edc5f:0xd1ecf4284507de7e!8m2!3d21.453234!4d105.6439579!16s%2Fg%2F11b6ws3mv7!19sChIJX9xOBAfnNDERft4HRSj07NE?authuser=0&hl=ko&rclk=1,3191,3.6
9,Vietnam,Vinh Phuc,Thiền viện Trúc lâm Tây Thiên,,,화려한 불교 단지로 고요한 산속의 고대 탑 폐허에 지어졌습니다.,,,https://www.google.com/maps/place/Thi%E1%BB%81n+vi%E1%BB%87n+Tr%C3%BAc+l%C3%A2m+T%C3%A2y+Thi%C3%AAn/data=!4m7!3m6!1s0x3134e871667dec33:0x334f79898cb98568!8m2!3d21.4650791!4d105.5761846!16s%2Fg%2F120pnrl0!19sChIJM-x9ZnHoNDERaIW5jIl5TzM?authuser=0&hl=ko&rclk=1,2666,4.5
10,Vietnam,Vinh Phuc,Tam Dao Stone Church,,,,,,https://www.google.com/maps/place/Tam+Dao+Stone+Church/data=!4m7!3m6!1s0x3134e707d0be2e0b:0x28021248decdcb92!8m2!3d21.4558446!4d105.6434956!16s%2Fg%2F1tjxzzk_!19sChIJCy6-0AfnNDERksvN3kgSAig?authuser=0&hl=ko&rclk=1,2658,4.4
