data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating,Popularity
1,China,Xi'an,병마용,,,약 기원전 3세기에 지어졌으며 살아있는 듯한 테라코타 병사 조각상으로 유명한 명소입니다.,,,https://www.google.com/maps/place/%EB%B3%91%EB%A7%88%EC%9A%A9/data=!4m7!3m6!1s0x3664a72d821403a3:0xc3e33e74e9e33fc7!8m2!3d34.3841153!4d109.2784918!16zL20vMDEzMXBx!19sChIJowMUgi2nZDYRxz_j6XQ-48M?authuser=0&hl=ko&rclk=1,,4.6,4033.0
2,China,Xi'an,시안성벽,,,해자와 함께 잘 보존된 고대 요새로서 성문이 있으며 벽 위의 회전식 경로를 이용할 수 있습니다.,,,https://www.google.com/maps/place/%EC%8B%9C%EC%95%88%EC%84%B1%EB%B2%BD/data=!4m7!3m6!1s0x36637a56f87fd3a1:0xb9ab5267439cda86!8m2!3d34.276795!4d108.947241!16s%2Fm%2F027zmwg!19sChIJodN_-FZ6YzYRhtqcQ2dSq7k?authuser=0&hl=ko&rclk=1,,4.5,854.0
3,China,Xi'an,대안탑,,,7세기에 지어진 높은 불교탑으로 신성한 경전을 보존하기 위해 건립되었습니다.,,,https://www.google.com/maps/place/%EB%8C%80%EC%95%88%ED%83%91/data=!4m7!3m6!1s0x14e036e7df479dd9:0x4804bba140ba776a!8m2!3d34.2182433!4d108.9641518!16zL20vMDVrNTFf!19sChIJ2Z1H3-c24BQRane6QKG7BEg?authuser=0&hl=ko&rclk=1,,4.4,725.0
4,China,Xi'an,산시 역사박물관,,,"화석, 벽화, 토기, 금속품을 전시하는 대규모 역사박물관으로, 당나라 양식의 건물에 들어서 있습니다.",,,https://www.google.com/maps/place/%EC%82%B0%EC%8B%9C+%EC%97%AD%EC%82%AC%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x366370614f505a77:0xd1e6ac9c71d17f8!8m2!3d34.22352!4d108.955298!16zL20vMDJkcHdi!19sChIJd1pQT2FwYzYR-Bcdx8lqHg0?authuser=0&hl=ko&rclk=1,,4.3,470.0
5,China,Xi'an,시안 셴양 국제공항,,,,,,https://www.google.com/maps/place/%EC%8B%9C%EC%95%88+%EC%85%B4%EC%96%91+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x36647f86fa101c45:0xe18dd0e1534f5a68!8m2!3d34.437111!4d108.7573294!16zL20vMGJqdG1j!19sChIJRRwQ-oZ_ZDYRaFpPU-HQjeE?authuser=0&hl=ko&rclk=1,,4.0,408.0
6,China,Xi'an,화산,,,,,,https://www.google.com/maps/place/%ED%99%94%EC%82%B0/data=!4m7!3m6!1s0x367b6e83b35f95af:0xad3de29e144c21d6!8m2!3d34.477861!4d110.084789!16zL20vMDRkdjh5!19sChIJr5Vfs4NuezYR1iFMFJ7iPa0?authuser=0&hl=ko&rclk=1,,4.6,393.0
7,China,Xi'an,鼓楼博物馆,,,,,,https://www.google.com/maps/place/%E9%BC%93%E6%A5%BC%E5%8D%9A%E7%89%A9%E9%A6%86/data=!4m7!3m6!1s0x36637a66d0319d4f:0x11f618ab74f1265a!8m2!3d34.260175!4d108.943697!16s%2Fg%2F11cm1lc0b_!19sChIJT50x0GZ6YzYRWibxdKsY9hE?authuser=0&hl=ko&rclk=1,,4.4,358.0
8,China,Xi'an,The Westin Xian,,,,,,https://www.google.com/maps/place/The+Westin+Xian/data=!4m10!3m9!1s0x3663705da2ab91d5:0xf35eb51881121f92!5m2!4m1!1i2!8m2!3d34.216908!4d108.958405!16s%2Fg%2F11b73mcy1f!19sChIJ1ZGrol1wYzYRkh8SgRi1XvM?authuser=0&hl=ko&rclk=1,,4.5,277.0
9,China,Xi'an,华清池,,,"평화로운 산 중턱 지역에 온천 단지, 정원, 유서 깊은 조각상이 있으며 아름다운 전망을 감상할 수 있습니다.",,,https://www.google.com/maps/place/%E5%8D%8E%E6%B8%85%E6%B1%A0/data=!4m7!3m6!1s0x36635f8c9d3af711:0x48a9608445c02490!8m2!3d34.361701!4d109.213075!16s%2Fm%2F0hhvtqm!19sChIJEfc6nYxfYzYRkCTARYRgqUg?authuser=0&hl=ko&rclk=1,,4.2,196.0
10,China,Xi'an,샹그릴라 호텔 시안,,,,,,https://www.google.com/maps/place/%EC%83%B9%EA%B7%B8%EB%A6%B4%EB%9D%BC+%ED%98%B8%ED%85%94+%EC%8B%9C%EC%95%88/data=!4m10!3m9!1s0x3663774f18ad1abb:0x1bede44a5c79cd2a!5m2!4m1!1i2!8m2!3d34.235367!4d108.89339!16s%2Fg%2F11f4wtt73x!19sChIJuxqtGE93YzYRKs15XErk7Rs?authuser=0&hl=ko&rclk=1,,4.6,192.0
