data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating
1,China,Xi'an,병마용(Emperor Qinshihuang's Mausoleum Site Museum),"월, 화, 수, 목, 금, 토, 일: 08:30~17:00",,,,국제 전화번호: +86 29 8139 9001 웹사이트: http://www.bmy.com.cn/,https://www.google.com/maps/place/?q=place_id:ChIJowMUgi2nZDYRxz_j6XQ-48M,4043,4.6
2,China,Xi'an,Museum of Qin Terracotta Warriors and Horses West Gate,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJv4qICsmgZDYRo4dEQ1Ip5UM,2072,4.6
3,China,Xi'an,Great Mosque of Xi'an,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJJfnIs2d6YzYRORg_bY2UO9M,1041,4.5
4,China,Xi'an,시안성벽(Fortifications of Xi'an),,,,,웹사이트: http://www.xacitywall.com/,https://www.google.com/maps/place/?q=place_id:ChIJodN_-FZ6YzYRhtqcQ2dSq7k,854,4.5
5,China,Xi'an,대안탑(Giant Wild Goose Pagoda),,,,,국제 전화번호: +86 29 8552 7958,https://www.google.com/maps/place/?q=place_id:ChIJ2Z1H3-c24BQRane6QKG7BEg,728,4.4
6,China,Xi'an,산시 역사박물관(Shaanxi History Museum),"월: 휴무; 화, 수, 목, 금, 토, 일: 08:00~18:00",,,,국제 전화번호: +86 29 8525 3806 웹사이트: http://www.sxhm.com/,https://www.google.com/maps/place/?q=place_id:ChIJd1pQT2FwYzYR-Bcdx8lqHg0,471,4.3
7,China,Xi'an,Bell Tower of Xi'an,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJAQDwCGF6YzYR4Tnyo8XeelI,358,4.5
8,China,Xi'an,Huimin Street,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJfTYwMWF6YzYRFubSYfN-Ntg,295,4.1
9,China,Xi'an,Small Wild Goose Pagoda,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJp0glH4JwYzYRvOVRiZHBRT8,287,4.5
10,China,Xi'an,西安碑林,,,,,국제 전화번호: +86 29 8721 0764 웹사이트: http://finance.ifeng.com/city/lydl/20090527/714246.shtml,https://www.google.com/maps/place/?q=place_id:ChIJh0jQqIF6YzYRhpNkKbDSkLA,259,4.4
