data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Yokohama,요코하마 차이나타운,,,일본 최대의 차이나타운으로 약 250개의 중국인 소유 상점과 식당이 있으며 입구가 화려합니다.,,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EC%B0%A8%EC%9D%B4%EB%82%98%ED%83%80%EC%9A%B4/data=!4m7!3m6!1s0x60185cef7b8bffff:0x90abf0214d828f35!8m2!3d35.4434459!4d139.6460909!16zL20vMGJoZDR5!19sChIJ__-Le-9cGGARNY-CTSHwq5A?authuser=0&hl=ko&rclk=1,43271,4.0
2,Japan,Yokohama,요코하마 아카렌가소코 2호관,,,"이전에는 벽돌 창고였으며, 현재는 상점, 카페 등이 있고 시즌별 이벤트가 열리는 쇼핑 & 문화 센터입니다.",,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EC%95%84%EC%B9%B4%EB%A0%8C%EA%B0%80%EC%86%8C%EC%BD%94+2%ED%98%B8%EA%B4%80/data=!4m7!3m6!1s0x60185cf885807149:0x94947dd82acc3d73!8m2!3d35.4526321!4d139.6428944!16s%2Fm%2F03ckcq0!19sChIJSXGAhfhcGGARcz3MKth9lJQ?authuser=0&hl=ko&rclk=1,37831,4.1
3,Japan,Yokohama,요코하마 랜드마크 타워,,,"호텔, 쇼핑몰, 사무실 등이 있는 고층 타워로 360도 전망대가 있습니다.",,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EB%9E%9C%EB%93%9C%EB%A7%88%ED%81%AC+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x60185c5d7366a111:0x3661ef0a3534c8c7!8m2!3d35.454954!4d139.6313859!16zL20vMDR6eGRr!19sChIJEaFmc11cGGARx8g0NQrvYTY?authuser=0&hl=ko&rclk=1,27790,4.2
4,Japan,Yokohama,야마시타 공원,,,"1930년에 문을 연 유명한 해안 공원으로, 화원, 기념비, 분수를 볼 수 있습니다.",,,https://www.google.com/maps/place/%EC%95%BC%EB%A7%88%EC%8B%9C%ED%83%80+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x60185ce2b1bb57b7:0xe3ba49f16272376c!8m2!3d35.4457655!4d139.6497793!16s%2Fm%2F010x5h8g!19sChIJt1e7seJcGGARbDdyYvFJuuM?authuser=0&hl=ko&rclk=1,22369,4.3
5,Japan,Yokohama,오다와라성,,,다양한 전시품과 유물을 만나볼 수 있는 작고 견고한 성으로 탑에서 멋진 풍경을 감상할 수도 있습니다.,,,https://www.google.com/maps/place/%EC%98%A4%EB%8B%A4%EC%99%80%EB%9D%BC%EC%84%B1/data=!4m7!3m6!1s0x6019a4f9eeaa0651:0x7abfbd1ba781f8c2!8m2!3d35.2509493!4d139.1535136!16zL20vMDNmeThw!19sChIJUQaq7vmkGWARwviBpxu9v3o?authuser=0&hl=ko&rclk=1,19235,4.1
6,Japan,Yokohama,요코하마 핫케이지마 시 파라다이스,,,"1993년에 개장한 이 놀이공원에는 해양 생물 쇼를 볼 수 있는 수족관, 놀이기구, 선착장 등이 있습니다.",,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%ED%95%AB%EC%BC%80%EC%9D%B4%EC%A7%80%EB%A7%88+%EC%8B%9C+%ED%8C%8C%EB%9D%BC%EB%8B%A4%EC%9D%B4%EC%8A%A4/data=!4m7!3m6!1s0x601841797ab6104d:0x4165a6dc508fcd47!8m2!3d35.336458!4d139.6452299!16s%2Fm%2F06zsg52!19sChIJTRC2enlBGGARR82PUNymZUE?authuser=0&hl=ko&rclk=1,16884,4.2
7,Japan,Yokohama,컵 누들 박물관 요코하마,,,"아이들이 즐기기 좋은 전시회로 창의적 사고, 컵라면, 컵라면 발명가 안도 모모후쿠에 대해 배울 수 있습니다.",,,https://www.google.com/maps/place/%EC%BB%B5+%EB%88%84%EB%93%A4+%EB%B0%95%EB%AC%BC%EA%B4%80+%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88/data=!4m7!3m6!1s0x60185c577b6193dd:0x7368667740b93abe!8m2!3d35.4554755!4d139.6388669!16s%2Fg%2F1211cdfm!19sChIJ3ZNhe1dcGGARvjq5QHdmaHM?authuser=0&hl=ko&rclk=1,16590,4.2
8,Japan,Yokohama,신요코하마 라멘 박물관,,,다양한 지역의 라면 시식을 제공하는 가게가 있으며 전통적인 일본의 음식 거리를 재현한 박물관입니다.,,,https://www.google.com/maps/place/%EC%8B%A0%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EB%9D%BC%EB%A9%98+%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x60185ed3fd002a35:0x8c6f8fc9f265028c!8m2!3d35.5099291!4d139.6146256!16zL20vMDEzMnlq!19sChIJNSoA_dNeGGARjAJl8smPb4w?authuser=0&hl=ko&rclk=1,13729,4.0
9,Japan,Yokohama,요코하마 아레나,,,,,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EC%95%84%EB%A0%88%EB%82%98/data=!4m7!3m6!1s0x60185eda022dd1bd:0x2ed62e22af68ca17!8m2!3d35.5122721!4d139.6201797!16zL20vMGJzMWdw!19sChIJvdEtAtpeGGARF8poryIu1i4?authuser=0&hl=ko&rclk=1,11169,4.2
10,Japan,Yokohama,퍼시피코 요코하마 국립 대 홀,,,,,,https://www.google.com/maps/place/%ED%8D%BC%EC%8B%9C%ED%94%BC%EC%BD%94+%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EA%B5%AD%EB%A6%BD+%EB%8C%80+%ED%99%80/data=!4m7!3m6!1s0x60185c44b19d6655:0xd51374e613662064!8m2!3d35.458624!4d139.637012!16zL20vMGZ4bm0z!19sChIJVWadsURcGGARZCBmE-Z0E9U?authuser=0&hl=ko&rclk=1,10951,4.0
