data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating
1,Japan,Yufu,킨린호수(Kinrin Lake),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 977-84-3111 홈페이지: https://www.city.yufu.oita.jp/kankou/kankou-2/kankou_cate1_1/kinrinko,https://www.google.com/maps/place/?q=place_id:ChIJa7QFnn2uRjUR5ofN82Ctd44,18722,4
2,Japan,Yufu,유후인 플로랄빌리지(Yufuin Floral Village),"월, 화, 수, 목, 금: 09:30~17:00; 토, 일: 09:30~17:30",,,,국제전화번호: +81 977-85-5132 홈페이지: http://floral-village.com/,https://www.google.com/maps/place/?q=place_id:ChIJWax-bn6uRjUReLLmqHrObCU,9613,4
3,Japan,Yufu,아프리칸 사파리(Kyushu Wildlife Park African Safari),"월, 화, 수, 목, 금, 토, 일: 09:00~16:00",,,,국제전화번호: +81 978-48-2331 홈페이지: https://africansafari.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJLyzRYCWoRjURzQqJ-wBenm8,7081,4.4
4,Japan,Yufu,키지마 고원 파크(Kijima Kogen Park),"월, 화, 수, 목, 금, 토, 일: 10:00~17:00",,,,국제전화번호: +81 977-22-1165 홈페이지: https://www.kijimakogen-park.jp/,https://www.google.com/maps/place/?q=place_id:ChIJMcZsw0OvRjURr7x2AHd8FAM,3607,4.2
5,Japan,Yufu,벳푸 로프웨이(Beppu Ropeway),"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,국제전화번호: +81 977-22-2278 홈페이지: http://www.beppu-ropeway.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJVVUlMwSmRjURs23KONRTvcg,3374,4.3
6,Japan,Yufu,사기리다이 전망대(Aso-Kuju National Park Sagiridai Overlook),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 97-582-1304 홈페이지: https://www.tabirai.net/s/sightseeing/column/0006910.aspx,https://www.google.com/maps/place/?q=place_id:ChIJdSPGWdetRjURtsvNy-yAHwE,2161,4.3
7,Japan,Yufu,유후인역(Yufuin Station),,,,,국제전화번호: +81 977-84-2021 홈페이지: https://www.jrkyushu.co.jp/EkiApp?LISTID=502&EKI=91203100,https://www.google.com/maps/place/?q=place_id:ChIJy4QaPtqtRjUR2dObSL4OhIo,1011,4.1
8,Japan,Yufu,Oike Spring,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 97-585-1920,https://www.google.com/maps/place/?q=place_id:ChIJK77cz0W1RjURm6Q5QkIRQMY,766,4.4
9,Japan,Yufu,Oita Funai Castle Ruins,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 97-537-5639 홈페이지: https://www.city.oita.oita.jp/o204/bunkasports/shitebunkazai/1352943146749.html,https://www.google.com/maps/place/?q=place_id:ChIJ6XZlQnefRjUR-YhnPkXavHs,711,3.6
10,Japan,Yufu,Unagihime Shrine,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 977-84-3200,https://www.google.com/maps/place/?q=place_id:ChIJK3bx0HauRjURMe-gDHlKsGg,707,4.2
11,Japan,Yufu,츠카노마(Yufuin Tsuka No Ma),,,,,국제전화번호: +81 977-85-3105 홈페이지: https://tsukanoma.club/,https://www.google.com/maps/place/?q=place_id:ChIJVeNiloSuRjURQzRBI0UM0oE,640,4.3
12,Japan,Yufu,벳푸역 시장(Beppu Station Market),"월, 화, 수, 목, 금, 토: 08:00~18:00; 일: 09:00~17:00",,,,국제전화번호: +81 977-22-1686 홈페이지: https://www.ekimachi1.com/beppu/ichiba/,https://www.google.com/maps/place/?q=place_id:ChIJVxhKsemmRjUR2ACVVxaBYug,541,3.6
13,Japan,Yufu,Yufuin Garden Hotel,,,,,국제전화번호: +81 977-28-2008 홈페이지: https://www.yufuin-gardenhotel.jp/,https://www.google.com/maps/place/?q=place_id:ChIJxZiHtneyRjURuzlpDbqo03Y,535,4.4
14,Japan,Yufu,베테이 이츠키(Yufuin Bettei ITSUKI),,,,,국제전화번호: +81 50-3528-2931 홈페이지: https://bettei-itsuki.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ8axeU3muRjURXWkFnVdCKTM,524,4.8
15,Japan,Yufu,COMICO ART MUSEUM YUFUIN,"월, 화, 목, 금, 토, 일: 09:30~16:00; 수: 휴무",,,,홈페이지: http://camy.oita.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ6Tamp3iuRjURHNkaIRhCLE4,446,4.4
16,Japan,Yufu,트릭3D아트 유후인(Trick 3D Art Yufuin),"월, 화, 수, 목, 금, 토, 일: 10:00~17:00",,,,국제전화번호: +81 977-84-5058 홈페이지: http://www.trick3dart-yufuin.com/,https://www.google.com/maps/place/?q=place_id:ChIJiR3SSX-uRjUR2aHr1Zc0k-k,373,3.9
17,Japan,Yufu,Yufuin Stained Glass Museum,"월, 화, 수, 목, 금, 토, 일: 09:00~16:30",,,,국제전화번호: +81 977-84-5575 홈페이지: http://www.yufuin-sg-museum.jp/,https://www.google.com/maps/place/?q=place_id:ChIJcdRv6XmuRjURk7zXzVq6vWE,327,3.7
18,Japan,Yufu,텐소신사(Tenso shrine (next to Kirin lake )),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 977-84-3111,https://www.google.com/maps/place/?q=place_id:ChIJHeTra32uRjURRvC131Fg964,324,4.3
19,Japan,Yufu,Yufugawa canyon,,,,,국제전화번호: +81 97-583-2552 홈페이지: https://yufugawacanyon.jimdo.com/,https://www.google.com/maps/place/?q=place_id:ChIJNyj8T3elRjURhCwbILKvjn4,316,3.9
20,Japan,Yufu,유후 산(Mount Yufu),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJW2pWcsOuRjURh34nbTameiU,309,4.7
21,Japan,Yufu,규슈 자동차 역사관(Retro Motor Museum),"월, 화, 수, 금: 09:30~16:30; 목: 휴무; 토, 일: 09:30~17:00",,,,국제전화번호: +81 977-84-3909 홈페이지: http://ret.car.coocan.jp/,https://www.google.com/maps/place/?q=place_id:ChIJF7e0ZH6uRjURuIV3CocuMqk,281,4.1
22,Japan,Yufu,쟈코시전망소(Jakoshi observatory),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJy9NedN2yRjURMy9Pjlqzlzg,277,4.1
23,Japan,Yufu,Kinrin Lake,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJNaKecX2uRjUR0_6Zyn-rcK4,234,4.2
24,Japan,Yufu,오오고샤(Oogosha),,,,,국제전화번호: +81 977-84-3111,https://www.google.com/maps/place/?q=place_id:ChIJCRf5kuCtRjUR7ox-RrgREFk,193,4.3
25,Japan,Yufu,湯布院のフクロウの森,"월, 화, 수, 목, 금: 09:30~17:00; 토, 일: 09:30~17:30",,,,국제전화번호: +81 977-85-5132 홈페이지: https://www.instagram.com/owlsforest_yufuin/,https://www.google.com/maps/place/?q=place_id:ChIJq5gFGoqvRjURMDPrpsZJ46A,173,4.4
26,Japan,Yufu,Nioza Historical Road,"월, 화, 수, 목, 금, 토, 일: 09:00~18:00",,,,국제전화번호: +81 972-64-6080 홈페이지: http://www.city.oita.oita.jp/oitapride/tourismcourse/roundtrip/rekishi.html,https://www.google.com/maps/place/?q=place_id:ChIJi4HKBoiERjURnUgfRaGObfo,169,4.3
27,Japan,Yufu,artegio | アルテジオ,"월, 화, 목, 금, 토, 일: 10:00~16:00; 수: 휴무",,,,국제전화번호: +81 977-28-8686 홈페이지: http://www.artegio.com/,https://www.google.com/maps/place/?q=place_id:ChIJnUYI4YSuRjUR2KvLPSR43qk,151,4.2
28,Japan,Yufu,Forest Adventure - Beppu,"월, 화, 수, 목, 금, 토, 일: 09:00~15:30",,,,국제전화번호: +81 70-4024-1010 홈페이지: https://foret-aventure.jp/park/fa-beppu/,https://www.google.com/maps/place/?q=place_id:ChIJx2jesZClRjURPO4n6Cldesg,139,4.6
29,Japan,Yufu,유후시 관광정보 센터(Yufu City Tourist Information Center),"월, 화, 수, 목, 금, 토, 일: 09:00~17:30",,,,국제전화번호: +81 977-84-2446 홈페이지: http://yufu-tic.jp/,https://www.google.com/maps/place/?q=place_id:ChIJOSAiPNqtRjURdZ12__Dj9H0,133,4.1
30,Japan,Yufu,Ougami Fukae Gyokou no asaichi,,,,,국제전화번호: +81 977-72-2051 홈페이지: https://www.town.hiji.lg.jp/shigoto_sangyo/noringyo_suisangyo/suisangyo/870.html,https://www.google.com/maps/place/?q=place_id:ChIJXa0KVkcfRDURptB9pEYwQTs,77,4
31,Japan,Yufu,由布シルキーロード,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJiQUOzKyvRjUR_p9gwtpraaI,65,4.7
32,Japan,Yufu,유노츠보 거리(Yunotsubo Street),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJMSNEu9CvRjURCQmOuH67y7Y,58,4.3
33,Japan,Yufu,유후인역 아트홀(Yufuin Station Art Hall),"월, 화, 수, 목, 금, 토, 일: 09:00~18:00",,,,국제전화번호: +81 977-84-4678 홈페이지: https://www.facebook.com/yufuinstationarthall,https://www.google.com/maps/place/?q=place_id:ChIJa1IaPtqtRjURTrDTNoTwt8M,58,4.1
34,Japan,Yufu,The Village 由布院 温泉グランピング,"월, 화, 수, 목, 금, 토, 일: 07:00~22:00",,,,국제전화번호: +81 977-75-9201 홈페이지: https://www.thevillageyufuin.com/,https://www.google.com/maps/place/?q=place_id:ChIJwzIta8mvRjURusB-m9DTi4E,52,4.5
35,Japan,Yufu,Norman Rockwell Yufuin Museum,,,,,국제전화번호: +81 977-84-5455,https://www.google.com/maps/place/?q=place_id:ChIJAQBU1dmtRjURUKmj8G3r780,49,4
36,Japan,Yufu,Asutemu Kenkou no mori,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJtbvrh_WuRjURiW2Xu33Jq-M,43,4.4
37,Japan,Yufu,유후산 동봉(由布岳東峰),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJr8W_c9CvRjURGbcOY7MVV6k,31,4.7
38,Japan,Yufu,Yufu River Gorge Natural Park.,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 97-583-2552 홈페이지: https://www.city.yufu.oita.jp/kankou/kankou-2/kankou_cate1_3/yufugawa,https://www.google.com/maps/place/?q=place_id:ChIJn9l9kJSlRjUR0U7AED2mGfs,21,3.6
39,Japan,Yufu,Watakushi Museum,,,,,국제전화번호: +81 977-76-5087,https://www.google.com/maps/place/?q=place_id:ChIJw9yHHoWuRjURq8hp274WdLw,20,4.2
40,Japan,Yufu,Sueda Museum,,,,,국제전화번호: +81 977-85-3572 홈페이지: http://suedabi.web.fc2.com/,https://www.google.com/maps/place/?q=place_id:ChIJNZKbfnyuRjURRAfWPw5XLnE,18,4.2
41,Japan,Yufu,West Trailhead of Mount Yufu,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJX2djvIeuRjUR80vPI-1ddH0,17,4.3
42,Japan,Yufu,湯布院（峯先）キリシタン墓群,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJyyJAVCqsRjURfwG68Dio9hY,16,3.2
43,Japan,Yufu,アルプスの少女ハイジの泉,"월, 화, 수, 목, 금: 09:30~17:00; 토, 일: 09:30~17:30",,,,홈페이지: http://floral-village.com/,https://www.google.com/maps/place/?q=place_id:ChIJI5awFBKvRjURsnykI4-FLqY,13,3.5
44,Japan,Yufu,蛍観橋,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2znEMHSvRjURKctn_aWqwL4,12,3.9
45,Japan,Yufu,山野城（朽網城）,,,,,홈페이지: https://www.city.taketa.oita.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ_ydpumLKRjUR8WjPtHPdeCo,10,2.8
