data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Zhangjiajie,Zhangjiajie Glass Bridge,,,약 300m 높이에 놓인 이 다리는 경이로운 경치를 감상할 수 있는 유리 바닥이 특징입니다.,,,https://www.google.com/maps/place/Zhangjiajie+Glass+Bridge/data=!4m7!3m6!1s0x369b0d46ebf4e5c7:0x2e5c8645cccd39dc!8m2!3d29.3982154!4d110.6962154!16s%2Fg%2F11c2kf1n56!19sChIJx-X060YNmzYR3DnNzEWGXC4?authuser=0&hl=ko&rclk=1,1701,4.5
2,China,Zhangjiajie,Yuanjiajie,,,,,,https://www.google.com/maps/place/Yuanjiajie/data=!4m7!3m6!1s0x369b0f4d2ab0e631:0x18c6ac4b26868a56!8m2!3d29.353463!4d110.53638!16s%2Fg%2F1wz50zwv!19sChIJMeawKk0PmzYRVoqGJkusxhg?authuser=0&hl=ko&rclk=1,1045,4.6
3,China,Zhangjiajie,Tianmenshan Cableway,,,,,,https://www.google.com/maps/place/Tianmenshan+Cableway/data=!4m7!3m6!1s0x369bafcf2b053daf:0x164743a51f0f8a3d!8m2!3d29.111576!4d110.483385!16s%2Fg%2F1th7wm6g!19sChIJrz0FK8-vmzYRPYoPH6VDRxY?authuser=0&hl=ko&rclk=1,1039,4.6
4,China,Zhangjiajie,장자제 국가삼림공원,,,"천문산의 1,400m 높이 절벽에 산책로와 유리 다리가 매달려 있습니다.",,,https://www.google.com/maps/place/%EC%9E%A5%EC%9E%90%EC%A0%9C+%EA%B5%AD%EA%B0%80%EC%82%BC%EB%A6%BC%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x369bafca1a43aca1:0xa18079ec65a40b6f!8m2!3d29.315305!4d110.434767!16zL20vMDljZ3Bt!19sChIJoaxDGsqvmzYRbwukZex5gKE?authuser=0&hl=ko&rclk=1,698,4.7
5,China,Zhangjiajie,Zhangjiajie Neodalle International Holiday Hotel,,,,,,https://www.google.com/maps/place/Zhangjiajie+Neodalle+International+Holiday+Hotel/data=!4m10!3m9!1s0x369b08b75798d601:0x2c55d8d65a2f45e1!5m2!4m1!1i2!8m2!3d29.34188!4d110.540086!16s%2Fg%2F11cm1ky90k!19sChIJAdaYV7cImzYR4UUvWtbYVSw?authuser=0&hl=ko&rclk=1,500,4.4
6,China,Zhangjiajie,十里画廊,,,,,,https://www.google.com/maps/place/%E5%8D%81%E9%87%8C%E7%94%BB%E5%BB%8A/data=!4m7!3m6!1s0x369b05fb19724501:0xa3e2bf1863716550!8m2!3d29.363621!4d110.4880087!16s%2Fg%2F1thvf612!19sChIJAUVyGfsFmzYRUGVxYxi_4qM?authuser=0&hl=ko&rclk=1,269,4.3
7,China,Zhangjiajie,Huanglongdong Scenic Area,,,,,,https://www.google.com/maps/place/Huanglongdong+Scenic+Area/data=!4m7!3m6!1s0x369b0ea027417521:0x60199fd271be0509!8m2!3d29.36296!4d110.614949!16s%2Fg%2F1trxhjzq!19sChIJIXVBJ6AOmzYRCQW-cdKfGWA?authuser=0&hl=ko&rclk=1,266,4.5
8,China,Zhangjiajie,Qinghe Jinjiang International Hotel,,,,,,https://www.google.com/maps/place/Qinghe+Jinjiang+International+Hotel/data=!4m10!3m9!1s0x369b08cade102e19:0xeab4a0cdcac98abd!5m2!4m1!1i2!8m2!3d29.349562!4d110.547724!16s%2Fg%2F1tdq487z!19sChIJGS4Q3soImzYRvYrJys2gtOo?authuser=0&hl=ko&rclk=1,264,4.0
9,China,Zhangjiajie,Tujia Folk Customs Park,,,,,,https://www.google.com/maps/place/Tujia+Folk+Customs+Park/data=!4m7!3m6!1s0x369bae48c23cdb8b:0xd0322c60e4c968f2!8m2!3d29.124724!4d110.463872!16s%2Fg%2F1tcy74g_!19sChIJi9s8wkiumzYR8mjJ5GAsMtA?authuser=0&hl=ko&rclk=1,164,4.3
10,China,Zhangjiajie,Wulingyuan,,,"협곡, 2개의 자연 교량, 3,000개 이상의 사암 기둥이 있는 탁 트인 국립공원입니다.",,,https://www.google.com/maps/place/Wulingyuan/data=!4m7!3m6!1s0x369b08a6ce7fba25:0xd791b25bd092aee5!8m2!3d29.338873!4d110.525449!16zL20vMDN3bmw5!19sChIJJbp_zqYImzYR5a6S0Fuykdc?authuser=0&hl=ko&rclk=1,152,4.5
