data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,rating,reviews
1,Thailand,Bangkok,프라 쑤멘 요새,,,,,,https://www.google.com/maps/place/%ED%94%84%EB%9D%BC+%EC%91%A4%EB%A9%98+%EC%9A%94%EC%83%88/data=!4m7!3m6!1s0x30e2997209b2f36f:0xc2c7e7e4530c7437!8m2!3d13.7639776!4d100.4956975!16s%2Fg%2F1213p0_m!19sChIJb_OyCXKZ4jARN3QMU-Tnx8I?authuser=0&hl=ko&rclk=1,4.4,"(2,074)"
2,Thailand,Bangkok,The Old Customs House,,,,,,https://www.google.com/maps/place/The+Old+Customs+House/data=!4m7!3m6!1s0x30e29987b9d23f0b:0xa4b7bc50df45b3d!8m2!3d13.725152!4d100.5139666!16s%2Fg%2F11c5_l_bhj!19sChIJCz_SuYeZ4jARPVv0DcV7Swo?authuser=0&hl=ko&rclk=1,3.9,(9)
3,Thailand,Bangkok,방콕인 박물관,,,,,,https://www.google.com/maps/place/%EB%B0%A9%EC%BD%95%EC%9D%B8+%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x30e298da097dcf47:0x2e1c1572252c4df6!8m2!3d13.7281433!4d100.5182074!16s%2Fm%2F043pp7k!19sChIJR899CdqY4jAR9k0sJXIVHC4?authuser=0&hl=ko&rclk=1,4.6,"(1,012)"
4,Thailand,Bangkok,Pi Kun Bridge,,,,,,https://www.google.com/maps/place/Pi+Kun+Bridge/data=!4m7!3m6!1s0x30e299102e3687c9:0xfefc19136e72a7f6!8m2!3d13.7496669!4d100.4963655!16s%2Fg%2F11c1t54k8s!19sChIJyYc2LhCZ4jAR9qdybhMZ_P4?authuser=0&hl=ko&rclk=1,4.5,(34)
5,Thailand,Bangkok,마하깐 요새,,,,,,https://www.google.com/maps/place/%EB%A7%88%ED%95%98%EA%B9%90+%EC%9A%94%EC%83%88/data=!4m7!3m6!1s0x30e2991577d81abd:0x6af18a21a15672a7!8m2!3d13.7556156!4d100.5055074!16s%2Fg%2F1221mxdq!19sChIJvRrYdxWZ4jARp3JWoSGK8Wo?authuser=0&hl=ko&rclk=1,4.3,(299)
6,Thailand,Bangkok,드림 월드,,,,,,https://www.google.com/maps/place/%EB%93%9C%EB%A6%BC+%EC%9B%94%EB%93%9C/data=!4m7!3m6!1s0x311d7ef1f4e1f30f:0x4893bc162bfb8f2a!8m2!3d13.9877146!4d100.6748425!16s%2Fm%2F0403m0y!19sChIJD_Ph9PF-HTERKo_7Kxa8k0g?authuser=0&hl=ko&rclk=1,4.4,"(14,692)"
7,Thailand,Bangkok,시암 파크시티,,,,,,https://www.google.com/maps/place/%EC%8B%9C%EC%95%94+%ED%8C%8C%ED%81%AC%EC%8B%9C%ED%8B%B0/data=!4m7!3m6!1s0x311d6390ccfccead:0xbe58cc811bcb174!8m2!3d13.8051787!4d100.6918106!16s%2Fm%2F03nr91r!19sChIJrc78zJBjHTERdLG8EciM5Qs?authuser=0&hl=ko&rclk=1,4.2,"(13,447)"
8,Thailand,Bangkok,Bangkok World,,,,,,https://www.google.com/maps/place/Bangkok+World/data=!4m7!3m6!1s0x311d631e4feee671:0xb6ef42acf63b903e!8m2!3d13.8053114!4d100.6923497!16s%2Fg%2F11n62kqv6y!19sChIJcebuTx5jHTERPpA79qxC77Y?authuser=0&hl=ko&rclk=1,4.5,(281)
9,Thailand,Bangkok,요요랜드,,,,,,https://www.google.com/maps/place/%EC%9A%94%EC%9A%94%EB%9E%9C%EB%93%9C/data=!4m7!3m6!1s0x311d6071fb7786b5:0xabf10b96c711eab8!8m2!3d13.6929356!4d100.6484466!16s%2Fg%2F1yh4g7b1p!19sChIJtYZ3-3FgHTERuOoRx5YL8as?authuser=0&hl=ko&rclk=1,4.5,"(2,373)"
10,Thailand,Bangkok,Wonder World Extreme Park,,,,,,https://www.google.com/maps/place/Wonder+World+Extreme+Park/data=!4m7!3m6!1s0x311d63088e26fa21:0xaf9c35dff6e3526c!8m2!3d13.81976!4d100.6781678!16s%2Fg%2F1hm5kh1ds!19sChIJIfomjghjHTERbFLj9t81nK8?authuser=0&hl=ko&rclk=1,4.1,(277)
