Worker ID,작업자 닉네임,data id,선택항목 1,선택항목 2,선택항목 3,선택항목 4,선택항목 5,선택항목 6,선택항목 7,선택항목 8,선택항목 9,선택항목 10,선택항목 11,선택항목 12,선택항목 13,선택항목 14,선택항목 15
,,,,,,,,,,,,,,,,,
256339.0,1212121212,1.0,100,20,80,100,20,80,40,20,20,40,80,80,100,60,60
256339.0,1212121212,2.0,20,20,40,20,80,80,20,20,20,80,40,80,100,80,100
256339.0,1212121212,3.0,40,40,80,80,20,20,60,20,20,60,100,100,100,40,100
78755.0,강한새,1.0,60,60,80,100,20,20,100,20,20,60,80,80,100,60,100
78755.0,강한새,2.0,20,60,60,60,100,80,20,40,40,60,60,60,60,100,100
78755.0,강한새,3.0,80,100,100,80,20,20,40,20,20,40,100,100,80,40,100
440481.0,고월백,1.0,60,40,80,100,20,40,80,20,20,80,80,80,80,80,100
440481.0,고월백,2.0,20,100,80,40,100,100,20,20,20,80,80,80,80,100,100
440481.0,고월백,3.0,100,80,100,100,20,20,80,20,20,80,100,100,100,40,100
531146.0,그레이쑨,2.0,20,60,80,60,100,100,60,60,60,100,80,80,100,100,100
531146.0,그레이쑨,3.0,100,80,100,100,20,20,80,20,20,40,100,100,100,60,100
531146.0,그레이쑨,1.0,80,60,60,80,40,20,60,60,40,60,80,80,100,100,100
559099.0,길나블리,1.0,80,80,100,100,40,40,80,40,40,80,100,100,100,100,100
559099.0,길나블리,2.0,20,60,100,60,100,100,40,20,20,100,100,100,100,100,100
559099.0,길나블리,3.0,100,100,100,100,20,40,80,20,20,80,100,100,100,60,100
631110.0,김전임,1.0,20,20,80,100,20,20,80,20,20,100,100,100,100,80,60
631110.0,김전임,2.0,20,20,80,20,100,100,40,20,20,100,100,100,100,100,100
631110.0,김전임,3.0,20,100,100,80,20,20,60,20,20,100,100,100,100,60,100
15058.0,꽁꽁얼어붙은라벨러,1.0,60,80,80,80,60,40,60,20,20,40,60,60,60,60,60
15058.0,꽁꽁얼어붙은라벨러,2.0,20,80,80,60,20,40,20,20,40,80,80,80,80,80,80
15058.0,꽁꽁얼어붙은라벨러,3.0,80,80,80,80,40,40,60,20,20,100,100,100,80,40,60
103012.0,꿈꾸는자님,1.0,80,100,100,100,60,60,100,60,80,40,80,80,100,100,80
103012.0,꿈꾸는자님,2.0,20,80,60,80,100,100,40,40,100,100,100,100,100,100,100
103012.0,꿈꾸는자님,3.0,100,100,100,100,40,40,80,40,60,80,100,100,100,80,100
561312.0,노라인,1.0,80,40,100,100,20,20,20,20,20,100,100,100,100,80,100
561312.0,노라인,2.0,20,80,100,100,60,100,20,20,60,100,100,100,100,100,100
561312.0,노라인,3.0,80,100,100,100,20,20,60,20,20,100,100,100,100,40,100
298990.0,담디딩,1.0,20,80,100,100,40,20,100,20,20,40,80,80,100,100,100
298990.0,담디딩,2.0,20,20,20,20,100,100,20,20,20,100,80,100,100,100,80
298990.0,담디딩,3.0,100,100,100,100,20,20,100,20,20,100,100,100,100,60,100
353935.0,당근토끼J,2.0,20,80,80,40,100,80,40,20,20,100,40,40,80,60,100
353935.0,당근토끼J,1.0,40,40,80,100,20,20,60,20,20,80,40,40,80,80,100
353935.0,당근토끼J,3.0,40,40,100,60,20,20,80,20,20,40,100,100,100,40,100
459746.0,도토링묵,1.0,80,60,80,100,20,20,60,20,20,60,60,60,80,40,60
459746.0,도토링묵,3.0,60,80,100,80,20,20,80,20,20,40,100,100,80,60,80
459746.0,도토링묵,2.0,20,60,40,40,80,80,60,20,20,80,40,80,80,80,80
342753.0,렉텡귤러,2.0,40,80,60,80,100,100,40,40,80,60,60,60,80,40,40
342753.0,렉텡귤러,3.0,100,60,80,80,20,20,80,20,20,40,100,100,100,40,100
342753.0,렉텡귤러,1.0,80,60,100,100,20,20,100,20,20,40,100,100,100,40,100
306497.0,리더스리더,1.0,40,40,100,100,20,40,80,20,60,40,100,60,80,20,100
306497.0,리더스리더,2.0,20,20,40,20,80,60,20,20,20,100,80,60,40,20,80
306497.0,리더스리더,3.0,40,80,100,80,20,60,60,20,20,40,80,60,100,20,100
479526.0,명미서다,1.0,20,20,80,100,40,40,100,20,40,60,80,80,80,40,60
479526.0,명미서다,2.0,20,20,40,40,100,80,20,20,40,80,80,80,80,100,100
479526.0,명미서다,3.0,60,60,80,100,20,20,60,20,40,60,100,100,100,40,100
638152.0,몽유병24,1.0,40,40,80,100,40,20,60,20,80,60,80,80,80,80,100
638152.0,몽유병24,2.0,20,80,60,80,100,80,40,20,60,80,40,60,60,80,60
638152.0,몽유병24,3.0,40,80,100,100,20,20,60,20,20,40,100,100,80,60,100
633035.0,미나리의도전,1.0,80,80,80,100,20,20,60,20,20,60,80,80,100,80,100
633035.0,미나리의도전,2.0,20,40,40,40,100,100,20,20,40,100,60,80,80,80,80
633035.0,미나리의도전,3.0,100,100,80,80,20,20,60,20,20,80,100,100,100,60,100
171522.0,밍찡찡이,1.0,80,20,60,100,20,20,100,20,20,60,100,100,100,40,60
