data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,rating,reviews
1,Japan,Fukuoka,캐널시티 하카타(CANAL CITY HAKATA),"Monday: 10:00AM9:00PM, Tuesday: 10:00AM9:00PM, Wednesday: 10:00AM9:00PM, Thursday: 10:00AM9:00PM, Friday: 10:00AM9:00PM, Saturday: 10:00AM9:00PM, Sunday: 10:00AM9:00PM",,,,"전화번호: 092-282-2525, 국제 전화번호: +81 92-282-2525, 웹사이트: https://canalcity.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJYcOBiZWRQTUR0Rl0ehe67eA,4.1,43513
2,Japan,Fukuoka,다자이후 천만궁(Dazaifu Tenmangu太宰府天満宮),"Monday: 6:00AM7:00PM, Tuesday: 6:00AM7:00PM, Wednesday: 6:00AM7:00PM, Thursday: 6:00AM7:00PM, Friday: 6:00AM7:00PM, Saturday: 6:00AM7:00PM, Sunday: 6:00AM7:00PM",,,,"전화번호: 092-922-8225, 국제 전화번호: +81 92-922-8225, 웹사이트: http://www.dazaifutenmangu.or.jp/",https://www.google.com/maps/place/?q=place_id:ChIJzfvrKp-bQTURl65fp6vRJLg,4.4,34010
3,Japan,Fukuoka,후쿠오카타워(Fukuoka Tower),"Monday: 9:30AM10:00PM, Tuesday: 9:30AM10:00PM, Wednesday: 9:30AM10:00PM, Thursday: 9:30AM10:00PM, Friday: 9:30AM10:00PM, Saturday: 9:30AM10:00PM, Sunday: 9:30AM10:00PM",,,,"전화번호: 092-823-0234, 국제 전화번호: +81 92-823-0234, 웹사이트: http://www.fukuokatower.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJAQAEI6qTQTURLZF6YTY7dPk,4.1,17678
4,Japan,Fukuoka,미즈호 PayPay 돔 후쿠오카(Mizuho PayPay Dome FUKUOKA),,,,,"전화번호: 092-844-1189, 국제 전화번호: +81 92-844-1189, 웹사이트: https://www.softbankhawks.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJS7bmAk2SQTURwlTt0njZnLc,4.3,16065
5,Japan,Fukuoka,구시다 신사(Kushida Shrine),"Monday: 9:00AM5:00PM, Tuesday: 9:00AM5:00PM, Wednesday: 9:00AM5:00PM, Thursday: 9:00AM5:00PM, Friday: 9:00AM5:00PM, Saturday: 9:00AM5:00PM, Sunday: 9:00AM5:00PM",,,,"전화번호: 092-291-2951, 국제 전화번호: +81 92-291-2951, 웹사이트: https://fukuoka-jinjacho.or.jp/area/fukuoka/",https://www.google.com/maps/place/?q=place_id:ChIJV2pTquqRQTURpI1FhH5siaE,4.3,11538
6,Japan,Fukuoka,오호리 공원(Ohori Park),"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,,"전화번호: 092-741-2004, 국제 전화번호: +81 92-741-2004, 웹사이트: https://www.ohorikouen.jp/",https://www.google.com/maps/place/?q=place_id:ChIJx6TbjMyTQTURmPdN7915780,4.5,10615
7,Japan,Fukuoka,마린월드 우미노나카미치 (Marine World Uminonakamichi)(Marine World),"Monday: 9:30AM5:30PM, Tuesday: 9:30AM5:30PM, Wednesday: 9:30AM5:30PM, Thursday: 9:30AM5:30PM, Friday: 9:30AM5:30PM, Saturday: 9:30AM5:30PM, Sunday: 9:30AM5:30PM",,,,"전화번호: 092-603-0400, 국제 전화번호: +81 92-603-0400, 웹사이트: http://www.marine-world.jp/",https://www.google.com/maps/place/?q=place_id:ChIJR4tIGrGNQTURRMLEZ9kNOr8,4.4,10330
8,Japan,Fukuoka,Life-Size RX-93ff 𝛎 Gundam Statue,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,,"전화번호: 092-707-9820, 국제 전화번호: +81 92-707-9820, 웹사이트: https://www.gundampark.net/",https://www.google.com/maps/place/?q=place_id:ChIJ4_0WFuiRQTURxlN32OlD-ck,4.5,9628
9,Japan,Fukuoka,규슈국립박물관(Kyushu National Museum),"Monday: Closed, Tuesday: 9:30AM5:00PM, Wednesday: 9:30AM5:00PM, Thursday: 9:30AM5:00PM, Friday: 9:30AM5:00PM, Saturday: 9:30AM5:00PM, Sunday: 9:30AM5:00PM",,,,"전화번호: 050-5542-8600, 국제 전화번호: +81 50-5542-8600, 웹사이트: http://www.kyuhaku.jp/",https://www.google.com/maps/place/?q=place_id:ChIJK4ld4qiTQTURnIfmKzchJLs,4.3,8602
10,Japan,Fukuoka,아크로스 후쿠오카(Acros Fukuoka),"Monday: 10:00AM6:00PM, Tuesday: 10:00AM6:00PM, Wednesday: 10:00AM6:00PM, Thursday: 10:00AM6:00PM, Friday: 10:00AM6:00PM, Saturday: 10:00AM6:00PM, Sunday: 10:00AM6:00PM",,,,"전화번호: 092-725-9111, 국제 전화번호: +81 92-725-9111, 웹사이트: https://www.acros.or.jp/",https://www.google.com/maps/place/?q=place_id:ChIJyapPiJGRQTURiUqCGjPcUF0,3.9,7389
