data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,rating,reviews
1,Japan,Nagoya,나고야 성(Nagoya Castle),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~16:30",,,,"전화번호: +81 52-231-1700, 웹사이트: https://www.nagoyajo.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJse-wx8t2A2ARd6Z1knjp07k,4.2,35743
2,Japan,Nagoya,나고야항 수족관(Port Of Nagoya Public Aquarium),"월요일: 09:00~17:30; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:30~17:30",,,,"전화번호: +81 52-654-7080, 웹사이트: https://nagoyaaqua.jp/",https://www.google.com/maps/place/?q=place_id:ChIJsyTJ06B5A2ARvt6FJ9xiqaE,4.3,18650
3,Japan,Nagoya,아쓰타 신궁(Atsuta-jingu Shrine),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: Open 24 hours",,,,"전화번호: +81 52-671-4151, 웹사이트: https://www.atsutajingu.or.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ3abhnht6A2ARu-Y4yDEWlao,4.5,17832
4,Japan,Nagoya,레고랜드 재팬(Legoland Japan Resort),"월요일, 화요일, 수요일, 목요일, 금요일: 10:00~16:00; 토요일, 일요일: 10:00~17:00",,,,"전화번호: +81 570-058-605, 웹사이트: http://www.legoland.jp/",https://www.google.com/maps/place/?q=place_id:ChIJzd5Pasd4A2ARRQZrV29qbmc,4.1,10802
5,Japan,Nagoya,나고야 시 과학관(Nagoya City Science Museum),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:30~17:00",,,,"전화번호: +81 52-201-4486, 웹사이트: http://www.ncsm.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJNfP0RCx3A2ARE9dwKx_ZRzk,4.4,10503
6,Japan,Nagoya,도요타 산업기술 기념관(Toyota Commemorative Museum of Industry and Technology),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:30~17:00",,,,"전화번호: +81 52-551-6115, 웹사이트: https://www.tcmit.org/",https://www.google.com/maps/place/?q=place_id:ChIJ____05N2A2ARK1ejw7VH1KM,4.6,10144
7,Japan,Nagoya,리니어 철도관(SCMaglev and Railway Park),"월요일, 수요일, 목요일, 금요일, 토요일, 일요일: 10:00~17:30; 화요일: 휴무",,,,"전화번호: +81 52-389-6100, 웹사이트: http://museum.jr-central.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ9W5bFM94A2ARkrOUnGq06Ew,4.4,9539
8,Japan,Nagoya,오아시스 21(Oasis 21),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 10:00~21:00",,,,"전화번호: +81 52-962-1011, 웹사이트: http://www.sakaepark.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJT5niKdRwA2AR1oO7t2LlvlQ,4.0,9488
9,Japan,Nagoya,노리타케 정원(Noritake Garden),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 10:00~18:00",,,,"전화번호: +81 52-561-7114, 웹사이트: https://www.noritake.co.jp/mori/",https://www.google.com/maps/place/?q=place_id:ChIJkVqv3Op2A2AR0laSdx5UWOA,4.1,6612
10,Japan,Nagoya,히가시야마 동식물원(Higashiyama Zoo and Botanical Gardens),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~16:30",,,,"전화번호: +81 52-782-2111, 웹사이트: http://www.higashiyama.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJt7ZD20plA2ARbRV7VnfVBnA,4.4,6329
11,Japan,Nagoya,시라카와 공원(Shirakawa Park),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: Open 24 hours",,,,"전화번호: +81 52-261-6641, 웹사이트: https://www.oshimazoen.co.jp/park_management/shirakawa_park",https://www.google.com/maps/place/?q=place_id:ChIJw_hcrC13A2ARxHR9-sZas6E,4.0,6277
12,Japan,Nagoya,중부전력 미라이 타워(Chubu Electric Power MIRAI TOWER),"월요일, 화요일, 수요일, 목요일, 금요일, 일요일: 10:00~21:00; 토요일: 10:00~21:40",,,,"전화번호: +81 52-971-8546, 웹사이트: http://www.nagoya-tv-tower.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJRQSoYtZwA2ARwpz475VYYeo,4.1,5789
13,Japan,Nagoya,도쿠가와원(Tokugawa Park),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:30~17:30",,,,"전화번호: +81 52-935-8988, 웹사이트: https://www.tokugawaen.aichi.jp/",https://www.google.com/maps/place/?q=place_id:ChIJC9iGK_VwA2ARo3u3Cgs1Axs,4.2,5469
14,Japan,Nagoya,히사야오도리 공원(Hisaya Ōdōri Park),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: Open 24 hours",,,,전화번호: +81 52-972-2768,https://www.google.com/maps/place/?q=place_id:ChIJxfFf3dFwA2ARM8-ff8RXTQ4,4.1,4749
15,Japan,Nagoya,이온몰나고야 노리타케 가든(AEON MALL Nagoya Noritake Garden),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 10:00~21:00",,,,"전화번호: +81 52-587-1600, 웹사이트: https://nagoya-noritake-garden.aeonmall.com/",https://www.google.com/maps/place/?q=place_id:ChIJRfCWc-p3A2AR4olIdF_c4V4,4.1,4094
16,Japan,Nagoya,메이조 공원(Meijō Park),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: Open 24 hours",,,,"전화번호: +81 52-913-0087, 웹사이트: http://www.meijyo-fp.com/",https://www.google.com/maps/place/?q=place_id:ChIJGXlLvcp2A2ARjzehP-PoMqk,4.1,3505
17,Japan,Nagoya,아이치 예술 문화 센터(Aichi Arts Center),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~22:00",,,,"전화번호: +81 52-971-5511, 웹사이트: http://www.aac.pref.aichi.jp/",https://www.google.com/maps/place/?q=place_id:ChIJXbkLytBwA2AR3YR8wCvQM7o,4.1,3442
18,Japan,Nagoya,도쿠가와 미술관(The Tokugawa Art Museum),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 10:00~17:00",,,,"전화번호: +81 52-935-6262, 웹사이트: https://www.tokugawa-art-museum.jp/",https://www.google.com/maps/place/?q=place_id:ChIJp-eMF_1wA2ARC_ohxjLyXbY,4.2,3362
