data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,rating,reviews
1,Japan,Tokyo,도쿄 디즈니랜드(Tokyo Disneyland),"Monday: 8:00AM10:00PM, Tuesday: 8:00AM10:00PM, Wednesday: 8:00AM10:00PM, Thursday: 8:00AM10:00PM, Friday: 8:00AM10:00PM, Saturday: 8:00AM10:00PM, Sunday: 8:00AM10:00PM",,,,"전화번호: 045-330-5211, 국제 전화번호: +81 45-330-5211, 웹사이트: https://www.tokyodisneyresort.jp/tdl/",https://www.google.com/maps/place/?q=place_id:ChIJszdHEQN9GGARy9MJ1TY22eQ,4.6,105155
2,Japan,Tokyo,도쿄 디즈니 리조트(Tokyo Disney Resort),,,,,"전화번호: 045-330-5211, 국제 전화번호: +81 45-330-5211, 웹사이트: https://www.tokyodisneyresort.jp/",https://www.google.com/maps/place/?q=place_id:ChIJzaLT0Bl9GGARX3OJ1IrbKdo,4.6,100686
3,Japan,Tokyo,도쿄 스카이트리(Tokyo Skytree),"Monday: 10:00AM9:00PM, Tuesday: 10:00AM9:00PM, Wednesday: 10:00AM9:00PM, Thursday: 10:00AM9:00PM, Friday: 10:00AM9:00PM, Saturday: 10:00AM9:00PM, Sunday: 10:00AM9:00PM",,,,"전화번호: 0570-550-634, 국제 전화번호: +81 570-550-634, 웹사이트: https://www.tokyo-skytree.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ35ov0dCOGGARKvdDH7NPHX0,4.4,88873
4,Japan,Tokyo,도쿄 디즈니씨(Tokyo DisneySea),,,,,"전화번호: 045-330-5211, 국제 전화번호: +81 45-330-5211, 웹사이트: https://www.tokyodisneyresort.jp/tds/",https://www.google.com/maps/place/?q=place_id:ChIJszdHEQN9GGARJS23SnAdR0E,4.6,87709
5,Japan,Tokyo,센소지(Sensō-ji),,,,,"전화번호: 03-3842-0181, 국제 전화번호: +81 3-3842-0181, 웹사이트: https://www.senso-ji.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ8T1GpMGOGGARDYGSgpooDWw,4.5,74677
6,Japan,Tokyo,도쿄 타워(Tokyo Tower),"Monday: 9:00AM10:30PM, Tuesday: 9:00AM10:30PM, Wednesday: 9:00AM10:30PM, Thursday: 9:00AM10:30PM, Friday: 9:00AM10:30PM, Saturday: 9:00AM10:30PM, Sunday: 9:00AM10:30PM",,,,"전화번호: 03-3433-5111, 국제 전화번호: +81 3-3433-5111, 웹사이트: https://www.tokyotower.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJCewJkL2LGGAR3Qmk0vCTGkg,4.5,74358
7,Japan,Tokyo,도쿄 돔(Tokyo Dome),,,,,"전화번호: 03-5800-9999, 국제 전화번호: +81 3-5800-9999, 웹사이트: https://www.tokyo-dome.co.jp/dome/",https://www.google.com/maps/place/?q=place_id:ChIJ89TugkeMGGARDmSeJIiyWFA,4.2,42664
8,Japan,Tokyo,신주쿠 교엔(Shinjuku Gyoen National Garden),"Monday: Closed, Tuesday: 9:00AM6:30PM, Wednesday: 9:00AM6:30PM, Thursday: 9:00AM6:30PM, Friday: 9:00AM6:30PM, Saturday: 9:00AM6:30PM, Sunday: 9:00AM6:30PM",,,,"전화번호: 03-3350-0151, 국제 전화번호: +81 3-3350-0151, 웹사이트: https://www.env.go.jp/garden/shinjukugyoen/index.html",https://www.google.com/maps/place/?q=place_id:ChIJPyOTG8KMGGARh_IXobWxHmo,4.6,37904
9,Japan,Tokyo,메이지 신궁(Meiji Jingu),,,,,"전화번호: 03-3379-5511, 국제 전화번호: +81 3-3379-5511, 웹사이트: https://www.meijijingu.or.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ5SZMmreMGGARcz8QSTiJyo8,4.6,37459
10,Japan,Tokyo,우에노 동물원(Ueno Zoological Gardens),"Monday: Closed, Tuesday: 9:30AM5:00PM, Wednesday: 9:30AM5:00PM, Thursday: 9:30AM5:00PM, Friday: 9:30AM5:00PM, Saturday: 9:30AM5:00PM, Sunday: 9:30AM5:00PM",,,,"전화번호: 03-3828-5171, 국제 전화번호: +81 3-3828-5171, 웹사이트: https://www.tokyo-zoo.net/zoo/ueno/",https://www.google.com/maps/place/?q=place_id:ChIJf2129yiMGGAR9I6Yoe-1uHY,4.3,33553
11,Japan,Tokyo,팀랩 플래닛 도쿄(teamLab Planets),"Monday: 9:00AM10:00PM, Tuesday: 9:00AM10:00PM, Wednesday: 9:00AM10:00PM, Thursday: 9:00AM10:00PM, Friday: 9:00AM10:00PM, Saturday: 9:00AM10:00PM, Sunday: 9:00AM10:00PM",,,,웹사이트: https://www.teamlab.art/jp/e/planets/,https://www.google.com/maps/place/?q=place_id:ChIJSeco5wiJGGARItbTS8lQ5G0,4.6,30069
12,Japan,Tokyo,우에노 공원(Ueno Park),"Monday: 5:00AM11:00PM, Tuesday: 5:00AM11:00PM, Wednesday: 5:00AM11:00PM, Thursday: 5:00AM11:00PM, Friday: 5:00AM11:00PM, Saturday: 5:00AM11:00PM, Sunday: 5:00AM11:00PM",,,,"전화번호: 03-3828-5644, 국제 전화번호: +81 3-3828-5644, 웹사이트: https://www.kensetsu.metro.tokyo.lg.jp/jimusho/toubuk/ueno/index_top.html",https://www.google.com/maps/place/?q=place_id:ChIJw2qQRZuOGGARWmROEiM2y7E,4.3,28747
13,Japan,Tokyo,도쿄 국립박물관(Tokyo National Museum),"Monday: Closed, Tuesday: 9:30AM5:00PM, Wednesday: 9:30AM5:00PM, Thursday: 9:30AM5:00PM, Friday: 9:30AM7:00PM, Saturday: 9:30AM7:00PM, Sunday: 9:30AM5:00PM",,,,"전화번호: 050-5541-8600, 국제 전화번호: +81 50-5541-8600, 웹사이트: https://www.tnm.jp/",https://www.google.com/maps/place/?q=place_id:ChIJEX3XFIOOGGAR3XdJvRjWLyM,4.5,24417
14,Japan,Tokyo,국립과학박물관(National Museum of Nature and Science),"Monday: Closed, Tuesday: 9:00AM5:00PM, Wednesday: 9:00AM5:00PM, Thursday: 9:00AM5:00PM, Friday: 9:00AM5:00PM, Saturday: 9:00AM5:00PM, Sunday: 9:00AM5:00PM",,,,"전화번호: 050-5541-8600, 국제 전화번호: +81 50-5541-8600, 웹사이트: https://www.kahaku.go.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ8Vuh65yOGGARyj4L5IBFiIk,4.5,23554
15,Japan,Tokyo,요요기 공원(Yoyogi Park),"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,,"전화번호: 03-3469-6081, 국제 전화번호: +81 3-3469-6081, 웹사이트: https://www.tokyo-park.or.jp/park/format/index039.html",https://www.google.com/maps/place/?q=place_id:ChIJMwpiebSMGGARPr_454zHvDQ,4.3,23265
16,Japan,Tokyo,하치코 동상(Hachikō Memorial Statue),"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,,"전화번호: 03-3463-1211, 국제 전화번호: +81 3-3463-1211",https://www.google.com/maps/place/?q=place_id:ChIJx1e971eLGGARum8w_tnpFwI,4.3,18772
17,Japan,Tokyo,국립신미술관(The National Art Center Tokyo),"Monday: 10:00AM6:00PM, Tuesday: Closed, Wednesday: 10:00AM6:00PM, Thursday: 10:00AM6:00PM, Friday: 10:00AM6:00PM, Saturday: 10:00AM6:00PM, Sunday: 10:00AM6:00PM",,,,"전화번호: 050-5541-8600, 국제 전화번호: +81 50-5541-8600, 웹사이트: https://www.nact.jp/",https://www.google.com/maps/place/?q=place_id:ChIJP-vO9nuLGGARGJ2q8uryJUA,4.3,18593
18,Japan,Tokyo,팀랩 보더리스(teamLab Borderless: MORI Building DIGITAL ART MUSEUM),"Monday: 9:00AM9:00PM, Tuesday: 9:00AM9:00PM, Wednesday: 9:00AM9:00PM, Thursday: 9:00AM9:00PM, Friday: 9:00AM9:00PM, Saturday: 9:00AM9:00PM, Sunday: 9:00AM9:00PM",,,,"전화번호: 03-6230-9666, 국제 전화번호: +81 3-6230-9666, 웹사이트: https://www.teamlab.art/jp/e/borderless-azabudai/",https://www.google.com/maps/place/?q=place_id:ChIJQ5Sa1PqJGGARUSaNKKOrMVg,4.6,18271
19,Japan,Tokyo,가사이 임해공원(Kasai Rinkai Park),"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,,"전화번호: 03-5696-1331, 국제 전화번호: +81 3-5696-1331, 웹사이트: https://www.tokyo-park.or.jp/park/format/index026.html",https://www.google.com/maps/place/?q=place_id:ChIJB3qyjVF9GGARE1Gz1IicoBY,4.2,16710
20,Japan,Tokyo,미타카의 숲 지브리 미술관(Ghibli Museum),"Monday: 10:00AM6:00PM, Tuesday: Closed, Wednesday: 10:00AM6:00PM, Thursday: 10:00AM6:00PM, Friday: 10:00AM6:00PM, Saturday: 10:00AM6:00PM, Sunday: 10:00AM6:00PM",,,,웹사이트: https://www.ghibli-museum.jp/,https://www.google.com/maps/place/?q=place_id:ChIJLYwD5TTuGGARBZKEP5BV4U0,4.5,14928
