data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,Japan,Tokyo,도쿄 디즈니랜드(Tokyo Disneyland),"Monday: 8:00AM10:00PM, Tuesday: 8:00AM10:00PM, Wednesday: 8:00AM10:00PM, Thursday: 8:00AM10:00PM, Friday: 8:00AM10:00PM, Saturday: 8:00AM10:00PM, Sunday: 8:00AM10:00PM",,,,국제 전화번호: +81 45-330-5211 웹사이트: https://www.tokyodisneyresort.jp/tdl/,https://www.google.com/maps/place/?q=place_id:ChIJszdHEQN9GGARy9MJ1TY22eQ,105155,4.6
2,Japan,Tokyo,도쿄 디즈니 리조트(Tokyo Disney Resort),,,,,국제 전화번호: +81 45-330-5211 웹사이트: https://www.tokyodisneyresort.jp/,https://www.google.com/maps/place/?q=place_id:ChIJzaLT0Bl9GGARX3OJ1IrbKdo,100686,4.6
3,Japan,Tokyo,도쿄 스카이트리(Tokyo Skytree),"Monday: 10:00AM9:00PM, Tuesday: 10:00AM9:00PM, Wednesday: 10:00AM9:00PM, Thursday: 10:00AM9:00PM, Friday: 10:00AM9:00PM, Saturday: 10:00AM9:00PM, Sunday: 10:00AM9:00PM",,,,국제 전화번호: +81 570-550-634 웹사이트: https://www.tokyo-skytree.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ35ov0dCOGGARKvdDH7NPHX0,88873,4.4
4,Japan,Tokyo,도쿄 디즈니씨(Tokyo DisneySea),,,,,국제 전화번호: +81 45-330-5211 웹사이트: https://www.tokyodisneyresort.jp/tds/,https://www.google.com/maps/place/?q=place_id:ChIJszdHEQN9GGARJS23SnAdR0E,87709,4.6
5,Japan,Tokyo,센소지(Sensō-ji),,,,,국제 전화번호: +81 3-3842-0181 웹사이트: https://www.senso-ji.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ8T1GpMGOGGARDYGSgpooDWw,74677,4.5
6,Japan,Tokyo,도쿄 타워(Tokyo Tower),"Monday: 9:00AM10:30PM, Tuesday: 9:00AM10:30PM, Wednesday: 9:00AM10:30PM, Thursday: 9:00AM10:30PM, Friday: 9:00AM10:30PM, Saturday: 9:00AM10:30PM, Sunday: 9:00AM10:30PM",,,,국제 전화번호: +81 3-3433-5111 웹사이트: https://www.tokyotower.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJCewJkL2LGGAR3Qmk0vCTGkg,74358,4.5
7,Japan,Tokyo,도쿄 돔(Tokyo Dome),,,,,국제 전화번호: +81 3-5800-9999 웹사이트: https://www.tokyo-dome.co.jp/dome/,https://www.google.com/maps/place/?q=place_id:ChIJ89TugkeMGGARDmSeJIiyWFA,42664,4.2
8,Japan,Tokyo,신주쿠 교엔(Shinjuku Gyoen National Garden),"Monday: Closed, Tuesday: 9:00AM6:30PM, Wednesday: 9:00AM6:30PM, Thursday: 9:00AM6:30PM, Friday: 9:00AM6:30PM, Saturday: 9:00AM6:30PM, Sunday: 9:00AM6:30PM",,,,국제 전화번호: +81 3-3350-0151 웹사이트: https://www.env.go.jp/garden/shinjukugyoen/index.html,https://www.google.com/maps/place/?q=place_id:ChIJPyOTG8KMGGARh_IXobWxHmo,37904,4.6
9,Japan,Tokyo,메이지 신궁(Meiji Jingu),,,,,국제 전화번호: +81 3-3379-5511 웹사이트: https://www.meijijingu.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ5SZMmreMGGARcz8QSTiJyo8,37459,4.6
10,Japan,Tokyo,우에노 동물원(Ueno Zoological Gardens),"Monday: Closed, Tuesday: 9:30AM5:00PM, Wednesday: 9:30AM5:00PM, Thursday: 9:30AM5:00PM, Friday: 9:30AM5:00PM, Saturday: 9:30AM5:00PM, Sunday: 9:30AM5:00PM",,,,국제 전화번호: +81 3-3828-5171 웹사이트: https://www.tokyo-zoo.net/zoo/ueno/,https://www.google.com/maps/place/?q=place_id:ChIJf2129yiMGGAR9I6Yoe-1uHY,33553,4.3
11,Japan,Tokyo,팀랩 플래닛 도쿄(teamLab Planets),"Monday: 9:00AM10:00PM, Tuesday: 9:00AM10:00PM, Wednesday: 9:00AM10:00PM, Thursday: 9:00AM10:00PM, Friday: 9:00AM10:00PM, Saturday: 9:00AM10:00PM, Sunday: 9:00AM10:00PM",,,, 웹사이트: https://www.teamlab.art/jp/e/planets/,https://www.google.com/maps/place/?q=place_id:ChIJSeco5wiJGGARItbTS8lQ5G0,30069,4.6
12,Japan,Tokyo,우에노 공원(Ueno Park),"Monday: 5:00AM11:00PM, Tuesday: 5:00AM11:00PM, Wednesday: 5:00AM11:00PM, Thursday: 5:00AM11:00PM, Friday: 5:00AM11:00PM, Saturday: 5:00AM11:00PM, Sunday: 5:00AM11:00PM",,,,국제 전화번호: +81 3-3828-5644 웹사이트: https://www.kensetsu.metro.tokyo.lg.jp/jimusho/toubuk/ueno/index_top.html,https://www.google.com/maps/place/?q=place_id:ChIJw2qQRZuOGGARWmROEiM2y7E,28747,4.3
13,Japan,Tokyo,도쿄 국립박물관(Tokyo National Museum),"Monday: Closed, Tuesday: 9:30AM5:00PM, Wednesday: 9:30AM5:00PM, Thursday: 9:30AM5:00PM, Friday: 9:30AM7:00PM, Saturday: 9:30AM7:00PM, Sunday: 9:30AM5:00PM",,,,국제 전화번호: +81 50-5541-8600 웹사이트: https://www.tnm.jp/,https://www.google.com/maps/place/?q=place_id:ChIJEX3XFIOOGGAR3XdJvRjWLyM,24417,4.5
14,Japan,Tokyo,국립과학박물관(National Museum of Nature and Science),"Monday: Closed, Tuesday: 9:00AM5:00PM, Wednesday: 9:00AM5:00PM, Thursday: 9:00AM5:00PM, Friday: 9:00AM5:00PM, Saturday: 9:00AM5:00PM, Sunday: 9:00AM5:00PM",,,,국제 전화번호: +81 50-5541-8600 웹사이트: https://www.kahaku.go.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ8Vuh65yOGGARyj4L5IBFiIk,23554,4.5
15,Japan,Tokyo,요요기 공원(Yoyogi Park),"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,,국제 전화번호: +81 3-3469-6081 웹사이트: https://www.tokyo-park.or.jp/park/format/index039.html,https://www.google.com/maps/place/?q=place_id:ChIJMwpiebSMGGARPr_454zHvDQ,23265,4.3
16,Japan,Tokyo,하치코 동상(Hachikō Memorial Statue),"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,,국제 전화번호: +81 3-3463-1211 ,https://www.google.com/maps/place/?q=place_id:ChIJx1e971eLGGARum8w_tnpFwI,18772,4.3
17,Japan,Tokyo,국립신미술관(The National Art Center Tokyo),"Monday: 10:00AM6:00PM, Tuesday: Closed, Wednesday: 10:00AM6:00PM, Thursday: 10:00AM6:00PM, Friday: 10:00AM6:00PM, Saturday: 10:00AM6:00PM, Sunday: 10:00AM6:00PM",,,,국제 전화번호: +81 50-5541-8600 웹사이트: https://www.nact.jp/,https://www.google.com/maps/place/?q=place_id:ChIJP-vO9nuLGGARGJ2q8uryJUA,18593,4.3
18,Japan,Tokyo,팀랩 보더리스(teamLab Borderless: MORI Building DIGITAL ART MUSEUM),"Monday: 9:00AM9:00PM, Tuesday: 9:00AM9:00PM, Wednesday: 9:00AM9:00PM, Thursday: 9:00AM9:00PM, Friday: 9:00AM9:00PM, Saturday: 9:00AM9:00PM, Sunday: 9:00AM9:00PM",,,,국제 전화번호: +81 3-6230-9666 웹사이트: https://www.teamlab.art/jp/e/borderless-azabudai/,https://www.google.com/maps/place/?q=place_id:ChIJQ5Sa1PqJGGARUSaNKKOrMVg,18271,4.6
19,Japan,Tokyo,가사이 임해공원(Kasai Rinkai Park),"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,,국제 전화번호: +81 3-5696-1331 웹사이트: https://www.tokyo-park.or.jp/park/format/index026.html,https://www.google.com/maps/place/?q=place_id:ChIJB3qyjVF9GGARE1Gz1IicoBY,16710,4.2
20,Japan,Tokyo,미타카의 숲 지브리 미술관(Ghibli Museum),"Monday: 10:00AM6:00PM, Tuesday: Closed, Wednesday: 10:00AM6:00PM, Thursday: 10:00AM6:00PM, Friday: 10:00AM6:00PM, Saturday: 10:00AM6:00PM, Sunday: 10:00AM6:00PM",,,, 웹사이트: https://www.ghibli-museum.jp/,https://www.google.com/maps/place/?q=place_id:ChIJLYwD5TTuGGARBZKEP5BV4U0,14928,4.5
21,Japan,Tokyo,도쿄도 미술관(Tokyo Metropolitan Art Museum),"Monday: Closed, Tuesday: 9:30AM5:30PM, Wednesday: 9:30AM5:30PM, Thursday: 9:30AM5:30PM, Friday: 9:30AM8:00PM, Saturday: 9:30AM5:30PM, Sunday: 9:30AM5:30PM",,,,국제 전화번호: +81 3-3823-6921 웹사이트: https://www.tobikan.jp/,https://www.google.com/maps/place/?q=place_id:ChIJb_o7HiiMGGARUKu8uO7fGIQ,13790,4.2
22,Japan,Tokyo,일본 과학 미래관(The National Museum of Emerging Science and Innovation (Miraikan)),"Monday: 10:00AM5:00PM, Tuesday: Closed, Wednesday: 10:00AM5:00PM, Thursday: 10:00AM5:00PM, Friday: 10:00AM5:00PM, Saturday: 10:00AM5:00PM, Sunday: 10:00AM5:00PM",,,,국제 전화번호: +81 3-3570-9151 웹사이트: https://www.miraikan.jst.go.jp/,https://www.google.com/maps/place/?q=place_id:ChIJz_149P6JGGARoImMn3NlsfY,13599,4.1
23,Japan,Tokyo,시부야 스카이(Shibuya Sky),"Monday: 10:00AM10:30PM, Tuesday: 10:00AM10:30PM, Wednesday: 10:00AM10:30PM, Thursday: 10:00AM10:30PM, Friday: 10:00AM10:30PM, Saturday: 10:00AM10:30PM, Sunday: 10:00AM10:30PM",,,,국제 전화번호: +81 3-4221-0229 웹사이트: https://www.shibuya-scramble-square.com/sky/,https://www.google.com/maps/place/?q=place_id:ChIJ4Rr2JWiLGGARcyRSHuZ-9G8,13339,4.6
24,Japan,Tokyo,요미우리랜드(Yomiuri Land),"Monday: 10:00AM6:00PM, Tuesday: 10:00AM5:00PM, Wednesday: 10:00AM5:00PM, Thursday: 10:00AM5:00PM, Friday: 10:00AM5:00PM, Saturday: 10:00AM6:00PM, Sunday: 9:00AM6:00PM",,,,국제 전화번호: +81 44-966-1111 웹사이트: https://www.yomiuriland.com/,https://www.google.com/maps/place/?q=place_id:ChIJ9_FxdIj6GGARU_kzX6Xrguc,13263,4.2
25,Japan,Tokyo,오다이바 해변공원(Odaiba Marine Park),"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,,국제 전화번호: +81 3-5500-2455 웹사이트: http://www.tptc.co.jp/park/01_02,https://www.google.com/maps/place/?q=place_id:ChIJ18IK6x2KGGARKTc2yLS-030,12840,4.3
26,Japan,Tokyo,에도-도쿄 박물관(Edo-Tokyo Museum),,,,,국제 전화번호: +81 3-3626-9974 웹사이트: https://www.edo-tokyo-museum.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJOWXu4TSJGGAR07vEEi8fZAw,12678,4.4
27,Japan,Tokyo,도쿄 돔 시티(Tokyo Dome City),"Monday: 10:00AM8:00PM, Tuesday: 10:00AM8:00PM, Wednesday: 10:00AM8:00PM, Thursday: 10:00AM8:00PM, Friday: 10:00AM9:00PM, Saturday: 10:00AM9:00PM, Sunday: 10:00AM8:00PM",,,,국제 전화번호: +81 3-3817-6001 웹사이트: https://at-raku.com/,https://www.google.com/maps/place/?q=place_id:ChIJCRf6uziMGGARcsRCJYCKKUQ,12376,4.1
28,Japan,Tokyo,이노카시라 공원(Inokashira Park),"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,,국제 전화번호: +81 422-47-6900 웹사이트: https://www.kensetsu.metro.tokyo.lg.jp/jimusho/seibuk/inokashira/index.html,https://www.google.com/maps/place/?q=place_id:ChIJLWaVdDXuGGART_Pg1R3CZ4A,12128,4.4
29,Japan,Tokyo,오모이데요코초(Omoide Yokocho),"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,, 웹사이트: http://shinjuku-omoide.com/,https://www.google.com/maps/place/?q=place_id:ChIJP9eKBdeMGGAR0zzBXJNVj5A,10872,4.1
30,Japan,Tokyo,산리오 퓨로랜드(Sanrio Puroland),"Monday: 9:30AM5:00PM, Tuesday: 10:00AM5:00PM, Wednesday: 10:00AM5:00PM, Thursday: 10:00AM5:00PM, Friday: 9:30AM5:00PM, Saturday: 8:30AM6:00PM, Sunday: 8:30AM6:00PM",,,,국제 전화번호: +81 42-339-1111 웹사이트: https://www.puroland.jp/,https://www.google.com/maps/place/?q=place_id:ChIJgdAaIkvjGGARVWgIVEarqvA,10244,4.1
31,Japan,Tokyo,하마리큐 은사정원(Hamarikyu Gardens),"Monday: 9:00AM5:00PM, Tuesday: 9:00AM5:00PM, Wednesday: 9:00AM5:00PM, Thursday: 9:00AM5:00PM, Friday: 9:00AM5:00PM, Saturday: 9:00AM5:00PM, Sunday: 9:00AM5:00PM",,,,국제 전화번호: +81 3-3541-0200 웹사이트: https://www.tokyo-park.or.jp/park/hama-rikyu/,https://www.google.com/maps/place/?q=place_id:ChIJwfegutyLGGARGjiY-L2eSps,10138,4.4
32,Japan,Tokyo,리쿠기엔(Rikugien Gardens),"Monday: 9:00AM5:00PM, Tuesday: 9:00AM5:00PM, Wednesday: 9:00AM5:00PM, Thursday: 9:00AM5:00PM, Friday: 9:00AM5:00PM, Saturday: 9:00AM5:00PM, Sunday: 9:00AM5:00PM",,,,국제 전화번호: +81 3-3941-2222 웹사이트: https://www.tokyo-park.or.jp/park/rikugien/,https://www.google.com/maps/place/?q=place_id:ChIJYUQ-972NGGAR5W_2E0N3SHY,9152,4.3
33,Japan,Tokyo,국립서양미술관(The National Museum of Western Art),"Monday: Closed, Tuesday: 9:30AM5:30PM, Wednesday: 9:30AM5:30PM, Thursday: 9:30AM5:30PM, Friday: 9:30AM8:00PM, Saturday: 9:30AM8:00PM, Sunday: 9:30AM5:30PM",,,,국제 전화번호: +81 50-5541-8600 웹사이트: https://www.nmwa.go.jp/jp/index.html,https://www.google.com/maps/place/?q=place_id:ChIJf8xB-pyOGGARizzhlNTcI7s,8692,4.5
34,Japan,Tokyo,황거 외원(Kokyo Gaien National Garden),"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,,,국제 전화번호: +81 3-3231-5509 웹사이트: http://fng.or.jp/koukyo/,https://www.google.com/maps/place/?q=place_id:ChIJAQCEbPGLGGARFa0L-v-rNtg,7989,4.4
35,Japan,Tokyo,고쿄 히가시 교엔(The East National Gardens of the Imperial Palace),"Monday: Closed, Tuesday: 9:00AM6:00PM, Wednesday: 9:00AM6:00PM, Thursday: 9:00AM6:00PM, Friday: Closed, Saturday: 9:00AM6:00PM, Sunday: 9:00AM6:00PM",,,,국제 전화번호: +81 3-3213-2050 웹사이트: https://www.kunaicho.go.jp/event/higashigyoen/higashigyoen.html,https://www.google.com/maps/place/?q=place_id:ChIJPfFaQhOMGGAR-QPbNQoAG6M,7727,4.4
36,Japan,Tokyo,시노바즈노이케(Shinobazu Pond),"Monday: 5:00AM11:00PM, Tuesday: 5:00AM11:00PM, Wednesday: 5:00AM11:00PM, Thursday: 5:00AM11:00PM, Friday: 5:00AM11:00PM, Saturday: 5:00AM11:00PM, Sunday: 5:00AM11:00PM",,,,국제 전화번호: +81 3-3828-5644 웹사이트: https://www.kensetsu.metro.tokyo.lg.jp/jimusho/toubuk/ueno/index_top.html,https://www.google.com/maps/place/?q=place_id:ChIJo8VKlCCMGGARarjlIsaLY1g,7535,4.2
