data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,rating,reviews
1,Japan,Fukuoka,후쿠오카 성터,,,언덕 위에 있는 1600년대 성터로 광활한 전망과 남아 있는 벽의 일부를 볼 수 있습니다.,,,https://www.google.com/maps/place/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4+%EC%84%B1%ED%84%B0/data=!4m7!3m6!1s0x354193d32689fe43:0x5f7b1b1a747c028a!8m2!3d33.5852452!4d130.3832159!16s%2Fm%2F02z22hf!19sChIJQ_6JJtOTQTURigJ8dBobe18?authuser=0&hl=ko&rclk=1,4.1,"(3,618)"
2,Japan,Fukuoka,후쿠오카타워,,,"탁 트인 도시와 만 전망을 볼 수 있는 전망대, 식사 공간, 라운지가 있는 현대적인 고층 빌딩입니다.",,,https://www.google.com/maps/place/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x354193aa23040001:0xf9743b36617a912d!8m2!3d33.5932846!4d130.35151!16zL20vMDlzMXk4!19sChIJAQAEI6qTQTURLZF6YTY7dPk?authuser=0&hl=ko&rclk=1,4.1,"(17,655)"
3,Japan,Fukuoka,旧福岡県庁跡,,,,,,https://www.google.com/maps/place/%E6%97%A7%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%BA%81%E8%B7%A1/data=!4m7!3m6!1s0x354191910b1ad7fd:0xb6d20e29f604f1f6!8m2!3d33.5899402!4d130.4034179!16s%2Fg%2F11c37_rr4t!19sChIJ_dcaC5GRQTUR9vEE9ikO0rY?authuser=0&hl=ko&rclk=1,4.2,(20)
4,Japan,Fukuoka,후쿠오카 시 박물관,,,나국의 금박 인장을 비롯하여 후쿠오카의 역사 전시를 관람할 수 있는 현대적인 박물관입니다.,,,https://www.google.com/maps/place/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4+%EC%8B%9C+%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x354193a91da0c507:0xa9dfcb1cb2a623e5!8m2!3d33.589786!4d130.353064!16s%2Fg%2F1229qltn!19sChIJB8WgHamTQTUR5SOmshzL36k?authuser=0&hl=ko&rclk=1,4.2,"(5,180)"
5,Japan,Fukuoka,후쿠오카 성 표어문 터,,,,,,https://www.google.com/maps/place/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4+%EC%84%B1+%ED%91%9C%EC%96%B4%EB%AC%B8+%ED%84%B0/data=!4m7!3m6!1s0x3541922d259dd46d:0xb6eec17cfe6021f6!8m2!3d33.5856259!4d130.3830969!16s%2Fg%2F11c1wx8br2!19sChIJbdSdJS2SQTUR9iFg_nzB7rY?authuser=0&hl=ko&rclk=1,4.0,(16)
6,Japan,Fukuoka,다자이후 유원지,,,숲속에 소규모 어린이용 놀이기구가 설치된 느긋한 분위기의 놀이공원입니다.,,,https://www.google.com/maps/place/%EB%8B%A4%EC%9E%90%EC%9D%B4%ED%9B%84+%EC%9C%A0%EC%9B%90%EC%A7%80/data=!4m7!3m6!1s0x35419b9e87824fb5:0x9857f78279eb1402!8m2!3d33.5211379!4d130.5368686!16s%2Fg%2F12148sgr!19sChIJtU-Ch56bQTURAhTreYL3V5g?authuser=0&hl=ko&rclk=1,3.9,(904)
7,Japan,Fukuoka,마린월드 우미노나카미치 (Marine World Uminonakamichi),,,다양한 해양생물을 볼 수 있는 도심 수족관으로 돌고래와 바다사자 쇼가 펼쳐지는 공연장이 있습니다.,,,https://www.google.com/maps/place/%EB%A7%88%EB%A6%B0%EC%9B%94%EB%93%9C+%EC%9A%B0%EB%AF%B8%EB%85%B8%EB%82%98%EC%B9%B4%EB%AF%B8%EC%B9%98+%28Marine+World+Uminonakamichi%29/data=!4m7!3m6!1s0x35418db11a488b47:0xbf3a0dd967c4c244!8m2!3d33.660851!4d130.363413!16s%2Fm%2F0j269q1!19sChIJR4tIGrGNQTURRMLEZ9kNOr8?authuser=0&hl=ko&rclk=1,4.4,"(10,314)"
8,Japan,Fukuoka,우미노나카미치 해변공원,,,"여가를 즐길 수 있는 드넓은 공간으로, 놀이공원, 캠핑장, 수영장이 있고, 계절에 따라 꽃 축제가 열립니다.",,,https://www.google.com/maps/place/%EC%9A%B0%EB%AF%B8%EB%85%B8%EB%82%98%EC%B9%B4%EB%AF%B8%EC%B9%98+%ED%95%B4%EB%B3%80%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x35418db21f7a0a69:0xbddf8f834abb318f!8m2!3d33.6642785!4d130.3616!16s%2Fg%2F11ckz8hxkr!19sChIJaQp6H7KNQTURjzG7SoOP370?authuser=0&hl=ko&rclk=1,4.4,"(4,030)"
9,Japan,Fukuoka,후쿠오카 장난감 미술관,,,,,,https://www.google.com/maps/place/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4+%EC%9E%A5%EB%82%9C%EA%B0%90+%EB%AF%B8%EC%88%A0%EA%B4%80/data=!4m7!3m6!1s0x354191030209f3c5:0x3540762a1e20170!8m2!3d33.5653165!4d130.4385474!16s%2Fg%2F11rtqzs5gn!19sChIJxfMJAgORQTURcAHioWIHVAM?authuser=0&hl=ko&rclk=1,4.5,(165)
10,Japan,Fukuoka,산리오 캐릭터즈 드리밍 파크,,,,,,https://www.google.com/maps/place/%EC%82%B0%EB%A6%AC%EC%98%A4+%EC%BA%90%EB%A6%AD%ED%84%B0%EC%A6%88+%EB%93%9C%EB%A6%AC%EB%B0%8D+%ED%8C%8C%ED%81%AC/data=!4m7!3m6!1s0x3541934278769727:0xc13f863d4411b112!8m2!3d33.5950969!4d130.3637518!16s%2Fg%2F11vj9wf08v!19sChIJJ5d2eEKTQTURErERRD2GP8E?authuser=0&hl=ko&rclk=1,3.8,(24)
