data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,rating,reviews
1,China,Guilin,Guilin Museum,,,"museum, tourist_attraction, point_of_interest, establishment",,"전화번호: 0773 289 8690, 국제 전화번호: +86 773 289 8690, 웹사이트: http://www.guilinmuseum.org.cn/",https://www.google.com/maps/place/?q=place_id:ChIJ22hqfzX0pDYRc41ylE4mbt0,3.6,11
2,China,Guilin,Guilin Central Square,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,"tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJaY9NFsb1pDYR1PGKwv-5b1g,4.3,161
3,China,Guilin,Guilin Art Museum,,,"tourist_attraction, point_of_interest, establishment",,"전화번호: 0773 288 3088, 국제 전화번호: +86 773 288 3088",https://www.google.com/maps/place/?q=place_id:ChIJ_YUZzsn1pDYR69GsI2rLpRo,4.4,45
4,China,Guilin,大圩古镇,,,"tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJJ4rlEyhapDYRuro0S_O0pf0,3.8,13
5,China,Guilin,Guilin Rongshanhu Scenic Area,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,"park, tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJjdb1Vsn1pDYRoVkw2FLpdOk,4.3,641
6,China,Guilin,Guihai Tablets Forest,,,"museum, tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJ5RKpasL1pDYR1IbOjEeOK7o,4.2,58
7,China,Guilin,Guangxi Guilin National Forest Park,,,"tourist_attraction, park, point_of_interest, establishment",,"전화번호: 0773 360 3430, 국제 전화번호: +86 773 360 3430, 웹사이트: https://m.tuniu.com/g38900/guide-0-0/",https://www.google.com/maps/place/?q=place_id:ChIJb75sBCT3pDYRcdtPDhUel5k,4.2,5
8,China,Guilin,Guilin Shike,,,"tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJ3YPTBrT1pDYRQ8z0OU0VjbI,4.5,27
9,China,Guilin,Riyue Shuangta Cultural Park,,,"park, tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJA3npd8_1pDYRWQkQmslvtlI,4.3,137
10,China,Guilin,Jingjiang Princes' Palace,,,"tourist_attraction, park, point_of_interest, establishment",,"전화번호: 0773 285 2203, 국제 전화번호: +86 773 285 2203",https://www.google.com/maps/place/?q=place_id:ChIJpyFnGLn1pDYRY0iyxiXLaHQ,4.2,175
11,China,Guilin,Guilin Yaoshan Scenic Attraction,,,"tourist_attraction, park, point_of_interest, establishment",,"전화번호: 0773 586 4592, 국제 전화번호: +86 773 586 4592",https://www.google.com/maps/place/?q=place_id:ChIJI15czKlfpDYRto76jgV9_0o,4.2,26
12,China,Guilin,Guilin Two Rivers & Four Lakes Scenic Area,"Monday: 8:00AM9:00PM, Tuesday: 8:00AM9:00PM, Wednesday: 8:00AM9:00PM, Thursday: 8:00AM9:00PM, Friday: 8:00AM9:00PM, Saturday: 8:00AM9:00PM, Sunday: 8:00AM9:00PM",,"tourist_attraction, point_of_interest, establishment",,"전화번호: 0773 280 5098, 국제 전화번호: +86 773 280 5098",https://www.google.com/maps/place/?q=place_id:ChIJg3u3pHv2pDYRXpZXY7qsCLQ,4.5,49
13,China,Guilin,Solitary Beauty Peak Prince City Scenic Area,,,"park, tourist_attraction, point_of_interest, establishment",,"전화번호: 0773 280 3149, 국제 전화번호: +86 773 280 3149",https://www.google.com/maps/place/?q=place_id:ChIJo93VZrn1pDYRzt4Wn6l4wZE,4.1,49
14,China,Guilin,Longji Scenic Area,,,"tourist_attraction, point_of_interest, establishment",,"전화번호: 0773 758 3188, 국제 전화번호: +86 773 758 3188",https://www.google.com/maps/place/?q=place_id:ChIJSQVikmWdpDYRgskatdc0FiE,4.6,16
15,China,Guilin,Reed Flute Cave,,,"tourist_attraction, point_of_interest, establishment",,"전화번호: 0773 269 5075, 국제 전화번호: +86 773 269 5075",https://www.google.com/maps/place/?q=place_id:ChIJs8zoz1f0pDYRWhx3YnA2xV0,4.4,214
16,China,Guilin,Elephant Trunk Hill,,,"tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJBx8lic71pDYRDs9lO3l8Q0w,4.2,209
17,China,Guilin,Longji Rice Terrace Scenic Spot,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,"tourist_attraction, point_of_interest, establishment",,"전화번호: 0773 758 3188, 국제 전화번호: +86 773 758 3188",https://www.google.com/maps/place/?q=place_id:ChIJBcA-D9FiozYRBSX7t28ZKj0,4.7,46
18,China,Guilin,Darongshu Scenic Area,,,"tourist_attraction, point_of_interest, establishment",,"전화번호: 0773 882 2125, 국제 전화번호: +86 773 882 2125",https://www.google.com/maps/place/?q=place_id:ChIJD6y2Qx2lpTYRESgase-bcNA,4.2,33
19,China,Guilin,Seven Star Park,,,"point_of_interest, tourist_attraction, establishment",,"전화번호: 0773 581 2174, 국제 전화번호: +86 773 581 2174",https://www.google.com/maps/place/?q=place_id:ChIJe9G-Zez1pDYRb3WjgPmtUT0,4.1,105
20,China,Guilin,구이린 디스 올드 플레이스 인터내셔널 유스호스텔,,,"lodging, point_of_interest, establishment",,"전화번호: 0773 281 3598, 국제 전화번호: +86 773 281 3598",https://www.google.com/maps/place/?q=place_id:ChIJK5Mif8n1pDYR93-yGjZ6UNM,4.2,66
21,China,Guilin,Fuboshan Park （West Gate）,,,"park, tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJczEghr71pDYRKQXdP87x51k,4.3,15
22,China,Guilin,Guilin Qianguqing Scenic Spot,,,"point_of_interest, establishment",,"전화번호: 0773 888 0777, 국제 전화번호: +86 773 888 0777",https://www.google.com/maps/place/?q=place_id:ChIJO9V3kIOlpTYRo7eaRgdg0mY,4.7,9
23,China,Guilin,Xingping Ancient Town,,,"point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJV3i2Q4OypTYRRmv2gWHhgi4,4.3,13
24,China,Guilin,Mosque,,,"tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJAxqwTMz1pDYRV5xdBhI10h8,4.5,19
25,China,Guilin,Yangshuo Tianlai Butterfly Spring,,,"tourist_attraction, point_of_interest, establishment",,"전화번호: 0773 881 1469, 국제 전화번호: +86 773 881 1469, 웹사이트: http://www.glhdq.com/",https://www.google.com/maps/place/?q=place_id:ChIJcwroGhilpTYReVngLbf0Dk0,3.2,19
26,China,Guilin,Guilin Local Taxation Bureau Veteran Cadre Activity Room,,,"amusement_park, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJawbRYrf1pDYRUaF90TIUuCE,4.0,22
27,China,Guilin,Cuiping,,,"point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJQzw3qiyqpTYR3R9sQcGNFdY,5.0,9
28,China,Guilin,Yulonghe Scenic Area,,,"tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJx6LNQfqlpTYR5BbgA-9_hdQ,4.5,65
29,China,Guilin,Chengyangzhai,,,"tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJpWiTofRTozYRs1WSzR9I_z0,4.3,82
30,China,Guilin,日月双塔,,,"point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJOfiUaKH2pDYRmS5Yc1uTthg,4.1,8
31,China,Guilin,Lemandi Park,,,"park, tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJiWd-EfJ0pDYR6UqVMy8vWhg,4.0,30
32,China,Guilin,Guilin Animal Theme Paradise,,,"zoo, tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJv_xHX-71pDYRFoEve4we12s,4.1,66
33,China,Guilin,Yuzi Paradise,,,"tourist_attraction, park, point_of_interest, establishment",,"전화번호: 0773 386 5555, 국제 전화번호: +86 773 386 5555",https://www.google.com/maps/place/?q=place_id:ChIJn3kEFItVpDYRmrCs6UQ8xdA,4.6,9
34,China,Guilin,Zizhou Park,,,"park, tourist_attraction, point_of_interest, establishment",,,https://www.google.com/maps/place/?q=place_id:ChIJedRlD8P1pDYR3loLt355_RY,3.9,66
35,China,Guilin,Mulong Lake （West Gate）,,,"park, tourist_attraction, point_of_interest, establishment",,"전화번호: 0773 283 2823, 국제 전화번호: +86 773 283 2823",https://www.google.com/maps/place/?q=place_id:ChIJbchD26T1pDYRDFCm0ySetRY,4.0,61
36,China,Guilin,Yangshuo Park,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,"park, tourist_attraction, point_of_interest, establishment",,"전화번호: 0773 882 2481, 국제 전화번호: +86 773 882 2481, 웹사이트: https://vacation.eztravel.com.tw/sight/PLC0000077838",https://www.google.com/maps/place/?q=place_id:ChIJJcnlCWKlpTYRDeac32Wjsu4,4.4,813
37,China,Guilin,Shiwai Taoyuan,,,"tourist_attraction, park, point_of_interest, establishment",,"전화번호: 0773 281 9133, 국제 전화번호: +86 773 281 9133, 웹사이트: https://niceview.cn/",https://www.google.com/maps/place/?q=place_id:ChIJc2rnzG2ppTYRBUpQYDEbTq4,3.7,80
